failure_mode_id,entity_type,entity_id,specificity
\SFM003,\Smethod,\SM_BFGS,\Stheoretical
\SFM003,\Smethod,\SM_NEWTON,\Stheoretical
\SFM003,\Smethod,\SM_SLSQP,\Stheoretical
\SFM007,\Smethod,\SM_BFGS,\Stheoretical
\SFM007,\Smethod,\SM_CMA_ES,\Stheoretical
\SFM007,\Smethod,\SM_COBYLA,\Stheoretical
\SFM007,\Smethod,\SM_SLSQP,\Stheoretical
\SFM009,\Smethod,\SM_GAUSS_NEWTON,\Stheoretical
\SFM009,\Smethod,\SM_INTERIOR_POINT_NLP,\Stheoretical
\SFM009,\Smethod,\SM_NEWTON,\Stheoretical
\SFM011,\Smethod,\SM_ACTIVE_SET,\Stheoretical
\SFM011,\Smethod,\SM_INTERIOR_POINT_NLP,\Stheoretical
\SFM011,\Smethod,\SM_SQP,\Stheoretical
\SFM014,\Sfeature,\SF_CONSTRAINT_CLASS,\Scontextual
\SFM015,\Smethod,\SM_COBYLA,\Stheoretical
\SFM015,\Smethod,\SM_INTERIOR_POINT_NLP,\Stheoretical
\SFM015,\Smethod,\SM_SLSQP,\Stheoretical
\SFM016,\Smethod,\SM_BFGS,\Stheoretical
\SFM016,\Smethod,\SM_INTERIOR_POINT_NLP,\Stheoretical
\SFM016,\Smethod,\SM_SQP,\Stheoretical
\SFM022,\Smethod,\SM_COBYQA,\Stheoretical
\SFM022,\Smethod,\SM_MADS,\Stheoretical
\SFM022,\Smethod,\SM_NELDER_MEAD,\Stheoretical
\SFM024,\Sfeature,\SF_EVALUATION_RELIABILITY,\Scontextual
\SFM025,\Simplementation,\SI_ACADOS,\Simplementation_only
\SFM025,\Simplementation,\SI_AX,\Simplementation_only
\SFM025,\Simplementation,\SI_BOTORCH,\Simplementation_only
\SFM025,\Simplementation,\SI_CASADI,\Simplementation_only
\SFM025,\Simplementation,\SI_CBC,\Simplementation_only
\SFM025,\Simplementation,\SI_CERES,\Simplementation_only
\SFM025,\Simplementation,\SI_CLARABEL,\Simplementation_only
\SFM025,\Simplementation,\SI_CPLEX,\Simplementation_only
\SFM025,\Simplementation,\SI_CVXOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_CVXPY,\Simplementation_only
\SFM025,\Simplementation,\SI_DEAP,\Simplementation_only
\SFM025,\Simplementation,\SI_DRAKE,\Simplementation_only
\SFM025,\Simplementation,\SI_EXCEL_SOLVER,\Simplementation_only
\SFM025,\Simplementation,\SI_GLPK,\Simplementation_only
\SFM025,\Simplementation,\SI_GUROBI,\Simplementation_only
\SFM025,\Simplementation,\SI_HIGHS_NATIVE,\Simplementation_only
\SFM025,\Simplementation,\SI_IPOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_JAXOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_JUMP,\Simplementation_only
\SFM025,\Simplementation,\SI_KNITRO,\Simplementation_only
\SFM025,\Simplementation,\SI_MANOPT_JL,\Simplementation_only
\SFM025,\Simplementation,\SI_MANOPT_MATLAB,\Simplementation_only
\SFM025,\Simplementation,\SI_MINIZINC,\Simplementation_only
\SFM025,\Simplementation,\SI_MOSEK,\Simplementation_only
\SFM025,\Simplementation,\SI_NEVERGRAD,\Simplementation_only
\SFM025,\Simplementation,\SI_NLOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_NOMAD,\Simplementation_only
\SFM025,\Simplementation,\SI_OPTAX,\Simplementation_only
\SFM025,\Simplementation,\SI_OPTIMJL,\Simplementation_only
\SFM025,\Simplementation,\SI_OPTUNA,\Simplementation_only
\SFM025,\Simplementation,\SI_ORTOOLS_CPSAT,\Simplementation_only
\SFM025,\Simplementation,\SI_ORTOOLS_GLOP,\Simplementation_only
\SFM025,\Simplementation,\SI_ORTOOLS_PDLP,\Simplementation_only
\SFM025,\Simplementation,\SI_ORTOOLS_ROUTING,\Simplementation_only
\SFM025,\Simplementation,\SI_OSQP,\Simplementation_only
\SFM025,\Simplementation,\SI_PETSC_TAO,\Simplementation_only
\SFM025,\Simplementation,\SI_PYCMA,\Simplementation_only
\SFM025,\Simplementation,\SI_PYMANOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_PYMOO,\Simplementation_only
\SFM025,\Simplementation,\SI_PYOMO,\Simplementation_only
\SFM025,\Simplementation,\SI_PYTORCH_OPTIM,\Simplementation_only
\SFM025,\Simplementation,\SI_RAY_TUNE,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIP,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_BASINHOPPING,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_BFGS,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_COBYLA,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_COBYQA,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_DIFFERENTIAL_EVOLUTION,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_DIRECT,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_DUAL_ANNEALING,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_LBFGSB,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_LEAST_SQUARES_LM,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_LEAST_SQUARES_TRF,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_LINPROG_HIGHS,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_MILP_HIGHS,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_NELDER_MEAD,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_POWELL,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_SHGO,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_SLSQP,\Simplementation_only
\SFM025,\Simplementation,\SI_SCIPY_TRUST_CONSTR,\Simplementation_only
\SFM025,\Simplementation,\SI_SCS,\Simplementation_only
\SFM025,\Simplementation,\SI_SMAC3,\Simplementation_only
\SFM025,\Simplementation,\SI_SNOPT,\Simplementation_only
\SFM025,\Simplementation,\SI_TENSORFLOW_OPTIM,\Simplementation_only
\SFM033,\Smethod,\SM_BAYESIAN_OPT_GP,\Stheoretical
\SFM033,\Smethod,\SM_SMAC_RF,\Stheoretical
\SFM037,\Smethod,\SM_CMA_ES,\Stheoretical
\SFM037,\Smethod,\SM_GENETIC_ALGORITHM,\Stheoretical
\SFM037,\Smethod,\SM_NSGA_II,\Stheoretical
