problem_id,name_ja,name_en,summary,domain_group,canonical_form,primary_variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,typical_dimension,typical_evaluation_cost,typical_noise,evaluation_reliability,solution_requirement,special_structure,repeated_solve_mode,parallel_budget,generic_optimization_appropriate,alternative_check_ids,example_domains,first_questions,source_ids,confidence,last_verified
PA001,閉形式解候補,Closed-form candidate,閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,precheck,minimize general_nonlinear; subject to unconstrained,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,reliable,global_proof,dense,one_off,serial,conditional,ALT_CLOSED_FORM;ALT_SYMBOLIC,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S055;S056,high,2026-07-13
PA002,線形方程式に還元,Linear-system reducible,線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,precheck,minimize equation_residual; subject to unconstrained,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_LINEAR_SYSTEM,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054;S056,high,2026-07-13
PA003,固有値・特異値問題,Eigenvalue/SVD,固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,precheck,minimize quadratic; subject to manifold,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,reliable,global_proof,low_rank,one_off,serial,conditional,ALT_EIGEN,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054;S071,high,2026-07-13
PA004,方程式の求根,Root finding,方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,precheck,minimize equation_residual; subject to unconstrained,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_ROOT;ALT_LEAST_SQUARES,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S080;S056,high,2026-07-13
PA005,線形最小二乗,Linear least squares,線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,least_squares,minimize sum_of_squares; subject to unconstrained,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_LEAST_SQUARES;ALT_LINEAR_SYSTEM,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S003;S056,high,2026-07-13
PA006,滑らかな低次元無制約,Smooth low-dimensional unconstrained,滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,continuous_nlp,minimize general_nonlinear; subject to unconstrained,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,reliable,local_stationary,dense,one_off,serial,conditional,ALT_CLOSED_FORM;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S002;S056,high,2026-07-13
PA007,高次元・勾配利用可能,High-dimensional with gradients,高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,continuous_nlp,minimize general_nonlinear; subject to unconstrained,continuous,general_nonlinear,unconstrained,nonconvex,smooth,automatic_differentiation,high,moderate,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_DECOMPOSITION;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S019;S046;S056,high,2026-07-13
PA008,上下限制約付き滑らか,Smooth bound-constrained,上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,continuous_nlp,minimize general_nonlinear; subject to bounds,continuous,general_nonlinear,bounds,nonconvex,smooth,analytic_gradient,medium,cheap,deterministic,reliable,local_stationary,dense,one_off,serial,conditional,ALT_PROJECTION_PROX;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S002;S065,high,2026-07-13
PA009,一般滑らか制約付きNLP,Smooth constrained NLP,一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,continuous_nlp,minimize general_nonlinear; subject to mixed,continuous,general_nonlinear,mixed,nonconvex,smooth,analytic_gradient,medium,moderate,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_SPECIALIZED;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S017;S029;S030;S056,high,2026-07-13
PA010,非滑らか凸複合,Nonsmooth convex composite,非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,convex_composite,minimize composite; subject to unconstrained,continuous,composite,unconstrained,convex,nonsmooth,subgradient,high,cheap,deterministic,reliable,convex_global,separable,one_off,serial,conditional,ALT_PROJECTION_PROX,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S055;S066;S067,high,2026-07-13
