policy_id,schema_version,subject_type,subject_id,effect,expression_json,inheritance_mode,override_action,overrides_policy_id,rationale_key,source_ids_json,confidence,last_verified
\SPOL_M_ACTIVE_SET_QP_FORM,\S1.0.0,\Smethod,\SM_ACTIVE_SET_QP,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_ACTIVE_SET_QP_QUADRATIC_FORM""}",\Slocal_only,\Sadd,\N,\Smethod.active_set_qp.quadratic_form,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SPOL_M_BAYESIAN_OPT_GP_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_BAYESIAN_OPT_GP,\Sexclude,"\S{""kind"":""predicate"",""predicate_id"":""P_M_BAYESIAN_OPT_GP_SCALE_LIMIT""}",\Slocal_only,\Sadd,\N,\Smethod.bayesian_opt_gp.dimension_limit,"\S[""S034"",""S035"",""S036"",""S037"",""S038"",""S059"",""S069"",""S075""]",\Shigh,\S2026-07-13
\SPOL_M_BFGS_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_BFGS,\Sexclude,"\S{""items"":[{""kind"":""predicate"",""predicate_id"":""P_M_BFGS_NONDIFFERENTIABLE""},{""kind"":""predicate"",""predicate_id"":""P_M_BFGS_LARGE_NOISE""}],""kind"":""any""}",\Slocal_only,\Sadd,\N,\Smethod.bfgs.incompatibility,"\S[""S002"",""S056"",""S057""]",\Shigh,\S2026-07-13
\SPOL_M_BRANCH_BOUND_DOMAIN,\S1.0.0,\Smethod,\SM_BRANCH_BOUND,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_BRANCH_BOUND_DISCRETE_DOMAIN""}",\Slocal_only,\Sadd,\N,\Smethod.branch_bound.discrete_domain,"\S[""S005"",""S016"",""S021"",""S024"",""S025"",""S028""]",\Smedium,\S2026-07-13
\SPOL_M_BRANCH_CUT_DOMAIN,\S1.0.0,\Smethod,\SM_BRANCH_CUT,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_BRANCH_CUT_DISCRETE_DOMAIN""}",\Slocal_only,\Sadd,\N,\Smethod.branch_cut.discrete_domain,"\S[""S005"",""S016"",""S021"",""S024"",""S025"",""S028""]",\Shigh,\S2026-07-13
\SPOL_M_CMA_ES_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_CMA_ES,\Sexclude,"\S{""kind"":""predicate"",""predicate_id"":""P_M_CMA_ES_SCALE_LIMIT""}",\Slocal_only,\Sadd,\N,\Smethod.cma_es.dimension_limit,"\S[""S032"",""S033"",""S040"",""S058"",""S074""]",\Shigh,\S2026-07-13
\SPOL_M_CP_SAT_DOMAIN,\S1.0.0,\Smethod,\SM_CP_SAT,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_CP_SAT_DISCRETE_DOMAIN""}",\Slocal_only,\Sadd,\N,\Smethod.cp_sat.discrete_domain,"\S[""S022"",""S053"",""S079""]",\Shigh,\S2026-07-13
\SPOL_M_GRADIENT_DESCENT_DERIVATIVE,\S1.0.0,\Smethod,\SM_GRADIENT_DESCENT,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_GRADIENT_DESCENT_DERIVATIVE""}",\Slocal_only,\Sadd,\N,\Smethod.gradient_descent.derivative_access,"\S[""S002"",""S056"",""S057""]",\Shigh,\S2026-07-13
\SPOL_M_INTERIOR_POINT_NLP_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_INTERIOR_POINT_NLP,\Sexclude,"\S{""kind"":""predicate"",""predicate_id"":""P_M_INTERIOR_POINT_NLP_NONDIFFERENTIABLE""}",\Slocal_only,\Sadd,\N,\Smethod.interior_point_nlp.requires_differentiability,"\S[""S017"",""S029"",""S030"",""S056"",""S064""]",\Shigh,\S2026-07-13
\SPOL_M_LBFGSB_DERIVATIVE,\S1.0.0,\Smethod,\SM_LBFGSB,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_LBFGSB_DERIVATIVE""}",\Slocal_only,\Sadd,\N,\Smethod.lbfgsb.derivative_access,"\S[""S002"",""S056"",""S057"",""S065""]",\Shigh,\S2026-07-13
\SPOL_M_LBFGS_DERIVATIVE,\S1.0.0,\Smethod,\SM_LBFGS,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_LBFGS_DERIVATIVE""}",\Slocal_only,\Sadd,\N,\Smethod.lbfgs.derivative_access,"\S[""S002"",""S056"",""S057"",""S065""]",\Shigh,\S2026-07-13
\SPOL_M_NELDER_MEAD_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_NELDER_MEAD,\Sexclude,"\S{""kind"":""predicate"",""predicate_id"":""P_M_NELDER_MEAD_SCALE_LIMIT""}",\Slocal_only,\Sadd,\N,\Smethod.nelder_mead.dimension_limit,"\S[""S002"",""S018"",""S031"",""S060"",""S063""]",\Shigh,\S2026-07-13
\SPOL_M_PRIMAL_DUAL_CONIC_CONSTRAINT,\S1.0.0,\Smethod,\SM_PRIMAL_DUAL_CONIC,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_PRIMAL_DUAL_CONIC_CONIC_CONSTRAINT""}",\Slocal_only,\Sadd,\N,\Smethod.primal_dual_conic.conic_constraint,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S028"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SPOL_M_SIMPLEX_FORM,\S1.0.0,\Smethod,\SM_SIMPLEX,\Srequire,"\S{""kind"":""predicate"",""predicate_id"":""P_M_SIMPLEX_LINEAR_FORM""}",\Slocal_only,\Sadd,\N,\Smethod.simplex.linear_form,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SPOL_M_SLSQP_INCOMPATIBILITY,\S1.0.0,\Smethod,\SM_SLSQP,\Sexclude,"\S{""kind"":""predicate"",""predicate_id"":""P_M_SLSQP_LARGE_NOISE""}",\Slocal_only,\Sadd,\N,\Smethod.slsqp.large_noise,"\S[""S002"",""S017"",""S029"",""S030"",""S056"",""S064""]",\Shigh,\S2026-07-13
