problem_id,problem_name_ja,method_id,method_name_ja,method_family_id,fit_level,beginner_priority,variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,dimension_context,evaluation_cost,noise,solution_requirement,required_conditions,exclusion_conditions,guarantee_notes,budget_notes,representative_implementation_ids,evidence_source_ids,confidence,last_verified
\SPA001,\S閉形式解候補,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Sviable,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS055;S056;S002;S057,\Shigh,\S2026-07-13
\SPA001,\S閉形式解候補,\SM_GRADIENT_DESCENT,\S最急降下法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_EXCEL_SOLVER,\SS055;S056;S002;S057,\Smedium,\S2026-07-13
\SPA001,\S閉形式解候補,\SM_NELDER_MEAD,\SNelder–Mead単体法,\SMF_DFO_LOCAL,\Slast_resort,\Savoid_as_default,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sglobal_proof,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,\SS055;S056;S002;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SPA001,\S閉形式解候補,\SM_NEWTON,\SNewton法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_OPTIMJL,\SS055;S056;S002;S057,\Smedium,\S2026-07-13
\SPA001,\S閉形式解候補,\SM_RANDOM_SEARCH,\Srandom search,\SMF_SURROGATE_HPO,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sglobal_proof,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S問題の主要構造・変数型・保証要求と不整合。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\SI_NEVERGRAD;I_OPTUNA;I_AX;I_SMAC3;I_RAY_TUNE,\SS055;S056;S034;S035;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SPA002,\S線形方程式に還元,\SM_ADMM,\S交互方向乗数法,\SMF_COMPOSITE_CONVEX,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S凸性または適切な単調性。近接作用素・射影・分解が計算可能。,\S非凸で証明必須;prox/射影が高価;離散変数,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCS,\SS054;S056;S055;S061;S066;S067,\Smedium,\S2026-07-13
\SPA002,\S線形方程式に還元,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Slast_resort,\Savoid_as_default,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS054;S056;S002;S057,\Smedium,\S2026-07-13
\SPA002,\S線形方程式に還元,\SM_DIFFERENTIAL_EVOLUTION,\S差分進化,\SMF_GLOBAL_SEARCH,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S問題の主要構造・変数型・保証要求と不整合。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_DIFFERENTIAL_EVOLUTION;I_NEVERGRAD,\SS054;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SPA002,\S線形方程式に還元,\SM_NEWTON,\SNewton法,\SMF_SMOOTH_LOCAL,\Sviable,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_OPTIMJL,\SS054;S056;S002;S057,\Shigh,\S2026-07-13
\SPA002,\S線形方程式に還元,\SM_NEWTON_CG,\SNewton-CG法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PETSC_TAO,\SS054;S056;S002;S057,\Smedium,\S2026-07-13
