predicate_id,schema_version,subject_type,subject_id,predicate_kind,feature_id,operator,value_json,value_type,rationale_key,source_ids_json,confidence,last_verified
\SP_M_ACTIVE_SET_QP_QUADRATIC_FORM,\S1.0.0,\Smethod,\SM_ACTIVE_SET_QP,\Sassumption,\SF_OBJECTIVE_FORM,\Seq,"\S""quadratic""",\Scontrolled_code,\Smethod.active_set_qp.quadratic_form,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SP_M_BAYESIAN_OPT_GP_SCALE_LIMIT,\S1.0.0,\Smethod,\SM_BAYESIAN_OPT_GP,\Sincompatibility,\SF_DIMENSION_CONTEXT,\Seq,"\S""over_10000""",\Scontrolled_code,\Smethod.bayesian_opt_gp.dimension_limit,"\S[""S034"",""S035"",""S036"",""S037"",""S038"",""S059"",""S069"",""S075""]",\Shigh,\S2026-07-13
\SP_M_BFGS_LARGE_NOISE,\S1.0.0,\Smethod,\SM_BFGS,\Sincompatibility,\SF_EVALUATION_RELIABILITY,\Seq,"\S""large_noise""",\Scontrolled_code,\Smethod.bfgs.large_noise,"\S[""S002"",""S056"",""S057""]",\Shigh,\S2026-07-13
\SP_M_BFGS_NONDIFFERENTIABLE,\S1.0.0,\Smethod,\SM_BFGS,\Sincompatibility,\SF_DERIVATIVE_ACCESS,\Seq,"\S""not_differentiable""",\Scontrolled_code,\Smethod.bfgs.requires_differentiability,"\S[""S002"",""S056"",""S057""]",\Shigh,\S2026-07-13
\SP_M_BRANCH_BOUND_DISCRETE_DOMAIN,\S1.0.0,\Smethod,\SM_BRANCH_BOUND,\Sassumption,\SF_VARIABLE_DOMAIN,\Sin,"\S[""integer"",""binary"",""mixed""]",\Scontrolled_code,\Smethod.branch_bound.discrete_domain,"\S[""S005"",""S016"",""S021"",""S024"",""S025"",""S028""]",\Smedium,\S2026-07-13
\SP_M_BRANCH_CUT_DISCRETE_DOMAIN,\S1.0.0,\Smethod,\SM_BRANCH_CUT,\Sassumption,\SF_VARIABLE_DOMAIN,\Sin,"\S[""integer"",""binary"",""mixed""]",\Scontrolled_code,\Smethod.branch_cut.discrete_domain,"\S[""S005"",""S016"",""S021"",""S024"",""S025"",""S028""]",\Shigh,\S2026-07-13
\SP_M_CMA_ES_SCALE_LIMIT,\S1.0.0,\Smethod,\SM_CMA_ES,\Sincompatibility,\SF_DIMENSION_CONTEXT,\Seq,"\S""over_10000""",\Scontrolled_code,\Smethod.cma_es.dimension_limit,"\S[""S032"",""S033"",""S040"",""S058"",""S074""]",\Shigh,\S2026-07-13
\SP_M_CP_SAT_DISCRETE_DOMAIN,\S1.0.0,\Smethod,\SM_CP_SAT,\Sassumption,\SF_VARIABLE_DOMAIN,\Sin,"\S[""integer"",""binary"",""mixed""]",\Scontrolled_code,\Smethod.cp_sat.discrete_domain,"\S[""S022"",""S053"",""S079""]",\Shigh,\S2026-07-13
\SP_M_GRADIENT_DESCENT_DERIVATIVE,\S1.0.0,\Smethod,\SM_GRADIENT_DESCENT,\Sassumption,\SF_DERIVATIVE_ACCESS,\Sin,"\S[""analytic_gradient"",""autodiff"",""numerical_difference_only"",""stochastic_gradient""]",\Scontrolled_code,\Smethod.gradient_descent.derivative_access,"\S[""S002"",""S056"",""S057""]",\Shigh,\S2026-07-13
\SP_M_INTERIOR_POINT_NLP_NONDIFFERENTIABLE,\S1.0.0,\Smethod,\SM_INTERIOR_POINT_NLP,\Sincompatibility,\SF_DERIVATIVE_ACCESS,\Seq,"\S""not_differentiable""",\Scontrolled_code,\Smethod.interior_point_nlp.requires_differentiability,"\S[""S017"",""S029"",""S030"",""S056"",""S064""]",\Shigh,\S2026-07-13
\SP_M_LBFGSB_DERIVATIVE,\S1.0.0,\Smethod,\SM_LBFGSB,\Sassumption,\SF_DERIVATIVE_ACCESS,\Sin,"\S[""analytic_gradient"",""autodiff"",""numerical_difference_only""]",\Scontrolled_code,\Smethod.lbfgsb.derivative_access,"\S[""S002"",""S056"",""S057"",""S065""]",\Shigh,\S2026-07-13
\SP_M_LBFGS_DERIVATIVE,\S1.0.0,\Smethod,\SM_LBFGS,\Sassumption,\SF_DERIVATIVE_ACCESS,\Sin,"\S[""analytic_gradient"",""autodiff"",""numerical_difference_only""]",\Scontrolled_code,\Smethod.lbfgs.derivative_access,"\S[""S002"",""S056"",""S057"",""S065""]",\Shigh,\S2026-07-13
\SP_M_NELDER_MEAD_SCALE_LIMIT,\S1.0.0,\Smethod,\SM_NELDER_MEAD,\Sincompatibility,\SF_DIMENSION_CONTEXT,\Seq,"\S""over_10000""",\Scontrolled_code,\Smethod.nelder_mead.dimension_limit,"\S[""S002"",""S018"",""S031"",""S060"",""S063""]",\Shigh,\S2026-07-13
\SP_M_PRIMAL_DUAL_CONIC_CONIC_CONSTRAINT,\S1.0.0,\Smethod,\SM_PRIMAL_DUAL_CONIC,\Sassumption,\SF_CONSTRAINT_CLASS,\Seq,"\S""conic_or_psd""",\Scontrolled_code,\Smethod.primal_dual_conic.conic_constraint,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S028"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SP_M_SIMPLEX_LINEAR_FORM,\S1.0.0,\Smethod,\SM_SIMPLEX,\Sassumption,\SF_OBJECTIVE_FORM,\Seq,"\S""linear""",\Scontrolled_code,\Smethod.simplex.linear_form,"\S[""S004"",""S010"",""S012"",""S013"",""S014"",""S016"",""S055"",""S062""]",\Shigh,\S2026-07-13
\SP_M_SLSQP_LARGE_NOISE,\S1.0.0,\Smethod,\SM_SLSQP,\Sincompatibility,\SF_EVALUATION_RELIABILITY,\Seq,"\S""large_noise""",\Scontrolled_code,\Smethod.slsqp.large_noise,"\S[""S002"",""S017"",""S029"",""S030"",""S056"",""S064""]",\Shigh,\S2026-07-13
