rule_id,question_id,answer_condition,condition_expression,action_type,action_target_type,action_target_ids,priority_effect,explanation,warnings,next_question_id,stop_or_continue,source_ids,confidence,last_verified
\SR001,\SQ01,\Scontinuous,\Sanswer(Q01) contains 'continuous',\Sinclude_problem,\Sproblem,\SPA006;PA007;PA008;PA009,\Scandidate,\S連続最適化familyを候補にする。,\S,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR002,\SQ01,\Sinteger,\Sanswer(Q01) contains 'integer',\Spromote_method,\Smethod,\SM_BRANCH_CUT;M_CP_SAT;M_DYNAMIC_PROGRAMMING,\Shigh,\S整数可行性をnativeに扱う手法を優先。,\S連続緩和の丸めだけでは可行性・証明を保証しない。,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR003,\SQ01,\Sbinary,\Sanswer(Q01) contains 'binary',\Spromote_method,\Smethod,\SM_CP_SAT;M_BRANCH_CUT;M_CDCL_SAT,\Shigh,\SBoolean/0-1構造をnativeに扱う。,\S論理構造が強ければCP-SAT/SAT、線形緩和が強ければMILP。,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR004,\SQ01,\Scategorical,\Sanswer(Q01) contains 'categorical',\Spromote_method,\Smethod,\SM_TPE;M_SMAC_RF;M_GENETIC_ALGORITHM,\Smedium,\Sカテゴリを自然に扱うmodel/encodingを選ぶ。,\Sone-hot連続化は不自然な距離を導入し得る。,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR005,\SQ01,\Smixed,\Sanswer(Q01) contains 'mixed',\Spromote_method,\Smethod,\SM_BRANCH_CUT;M_CP_SAT;M_TPE;M_SMAC_RF,\Shigh,\S数式modelならMIP/CP、black-boxなら混合空間surrogateを検討。,\S,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR006,\SQ01,\Sstructured_or_unknown,\Sanswer(Q01) contains 'structured_or_unknown',\Sask_followup,\Sfeature,\SF_VARIABLE_DOMAIN,\Snone,\S行列・多様体・graph・trajectory等かを追加確認。,\S,\SQ02,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR007,\SQ02,\Sexplicit_algebraic,\Sanswer(Q02) contains 'explicit_algebraic',\Srecommend_alternative,\Salternative,\SALT_SPECIALIZED,\Shigh,\S係数・制約構造を専用solverへ渡せる可能性が高い。,\S,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR008,\SQ02,\Sresidual_vector,\Sanswer(Q02) contains 'residual_vector',\Srecommend_alternative,\Salternative,\SALT_LEAST_SQUARES,\Shigh,\Sscalar二乗和に潰さずresidual/Jacobian構造を保持。,\S,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR009,\SQ02,\Sautomatic_differentiation_graph,\Sanswer(Q02) contains 'automatic_differentiation_graph',\Spromote_method,\Smethod,\SM_LBFGS;M_NEWTON_CG;M_INTERIOR_POINT_NLP,\Shigh,\SADにより高品質derivativeを利用。,\S分岐・custom op・停止判定でgradientが壊れないか検査。,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR010,\SQ02,\Ssimulation_only,\Sanswer(Q02) contains 'simulation_only',\Spromote_method,\Smethod,\SM_MADS;M_CMA_ES;M_BAYESIAN_OPT_GP,\Smedium,\Sfunction-value black-boxとして評価費とnoiseで分岐。,\S内部がsmoothでもderivative unavailableとderivative nonexistentは別。,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
