implementation_id,library_name,solver_name,api_name,method_selector,language,license,commercial_model,free_use_conditions,open_source,os_support,problem_formats,variable_support,constraint_support,analytic_derivatives,autodiff,numerical_diff,sparse_support,parallelism,gpu_support,warm_start,callback,termination_controls,initialization,constraint_violation_reporting,optimality_info,dual_variables,optimality_gap,sensitivity_info,status_codes,major_options,default_safety,documentation_quality,beginner_usability,maintenance_status,last_release,last_verified,official_docs_url,official_repo_url,usage_example,notes,supported_method_ids,implementation_differences,source_ids,confidence
I_SCIPY_BFGS,SciPy,BFGS,scipy.optimize.minimize,BFGS,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,smooth unconstrained,continuous,unconstrained,yes,no,yes,no,limited,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='BFGS')",APIが受け付けることと実務適合性を区別する。methodごとに制約・微分・statusが異なる。,M_BFGS,,S001;S002;S082,high
I_SCIPY_LBFGSB,SciPy,L-BFGS-B,scipy.optimize.minimize,L-BFGS-B,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,smooth bound-constrained,continuous,bounds,yes,no,yes,implicit_low_memory,implementation_dependent,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='L-BFGS-B')",高次元bounds付きの有力候補。変数scale、finite-difference step、projected gradientを確認。,M_LBFGSB,,S001;S002;S065;S082,high
I_SCIPY_TRUST_CONSTR,SciPy,trust-constr,scipy.optimize.minimize,trust-constr,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,smooth constrained NLP,continuous,bounds;linear;nonlinear,yes,no,yes,yes,implementation_dependent,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='trust-constr')",非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,M_INTERIOR_POINT_NLP;M_TRUST_KRYLOV;M_SQP,,S001;S002;S082,high
I_SCIPY_SLSQP,SciPy,SLSQP,scipy.optimize.minimize,SLSQP,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,small/medium smooth constrained NLP,continuous,bounds;linear;nonlinear,yes,no,yes,no,implementation_dependent,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,partial,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='SLSQP')",中小規模の便利な候補だが、status成功だけでなく最終constraint violationを再計算する。,M_SLSQP,,S001;S002;S064;S082,high
I_SCIPY_NELDER_MEAD,SciPy,Nelder-Mead,scipy.optimize.minimize,Nelder-Mead,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,local derivative-free,continuous,unconstrained;bounds_clipping,no,no,no,no,implementation_dependent,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='Nelder-Mead')",低次元・安価評価向け。boundsは厳密な制約最適化と同等ではなく、単体退化とscaleに注意。,M_NELDER_MEAD,,S001;S002;S063;S082,high
I_SCIPY_POWELL,SciPy,Powell,scipy.optimize.minimize,Powell,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,local derivative-free,continuous,unconstrained;bounds,no,no,no,no,implementation_dependent,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='Powell')",,M_POWELL,,S001;S002;S082,high
I_SCIPY_COBYLA,SciPy,COBYLA,scipy.optimize.minimize,COBYLA,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,derivative-free constrained local,continuous,nonlinear inequalities;bounds,no,no,no,no,implementation_dependent,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='COBYLA')",equalitiesは通常二つのinequality等へ変換が必要。constraint toleranceと最終可行性を確認。,M_COBYLA,,S001;S002;S082,high
I_SCIPY_COBYQA,SciPy,COBYQA,scipy.optimize.minimize,COBYQA,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,derivative-free constrained local,continuous,bounds;linear;nonlinear,no,no,no,no,implementation_dependent,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,"scipy.optimize.minimize(..., method='COBYQA')",quadratic interpolation geometryと評価予算に注意。,M_COBYQA,,S001;S002;S082,high
I_SCIPY_LEAST_SQUARES_TRF,SciPy,Trust Region Reflective,scipy.optimize.least_squares,trf,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,nonlinear least squares,continuous,bounds,yes,no,yes,yes,implementation_dependent,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,good_for_structure,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.least_squares.html,https://github.com/scipy/scipy,"scipy.optimize.least_squares(..., method='trf')",residual vectorとJacobian sparsityを直接渡す。robust lossも選択可能。,M_GAUSS_NEWTON;M_TRUST_KRYLOV,,S003;S082,high
I_SCIPY_LEAST_SQUARES_LM,SciPy,Levenberg-Marquardt,scipy.optimize.least_squares,lm,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,small unconstrained nonlinear least squares,continuous,unconstrained,yes,no,yes,no,implementation_dependent,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.least_squares.html,https://github.com/scipy/scipy,"scipy.optimize.least_squares(..., method='lm')",bounds非対応。残差数・変数数、rank deficiency、Jacobian品質を確認。,M_LEVENBERG_MARQUARDT,,S003;S082,high
