question_id,sequence,parent_question_id,question_ja,question_en,beginner_wording,answer_type,allowed_answers,mapped_feature_id,why_asked,show_conditions,expert_note,required,source_ids,confidence,last_verified
Q01,1,,変数は連続・整数・0-1・カテゴリ・混合のどれですか？,What variable types are present?,変数は連続・整数・0-1・カテゴリ・混合のどれですか？,single_choice,continuous;integer;binary;categorical;mixed;structured_or_unknown,F_VARIABLE_DOMAIN,変数型は利用できるsolver familyを最初に大きく分ける。,,relaxation/encodingで変換可能でも、元の可行性と保証を失わないか確認。,yes,S054;S055;S056,high,2026-07-13
Q02,2,,目的関数と制約を数式・係数・計算graphとして記述できますか？,Can the objective and constraints be written explicitly?,目的関数と制約を数式・係数・計算graphとして記述できますか？,single_choice,explicit_algebraic;residual_vector;automatic_differentiation_graph;simulation_only;experiment_only;unknown,F_OBJECTIVE_SIMULATION,white/gray/black-boxの度合いと構造専用solverの可否を分ける。,,数式化できないことと微分不能は別。simulation内部がsmoothでもderivative unavailableの場合がある。,yes,S054;S055;S056,high,2026-07-13
Q03,3,,問題は線形、二次、最小二乗、一般非線形、複数目的のどれに近いですか？,Which objective structure is closest?,問題は線形、二次、最小二乗、一般非線形、複数目的のどれに近いですか？,single_choice,linear;quadratic;sum_of_squares;general_nonlinear;multiobjective;equation_or_feasibility;unknown,F_OBJECTIVE_FORM,特殊構造を使う専用法は汎用NLPより保証・速度・診断で有利。,,,yes,S054;S055;S056,high,2026-07-13
Q04,4,,制約はありますか。どの種類ですか？,What constraints are present?,制約はありますか。どの種類ですか？,multi_choice,none;bounds;linear;nonlinear;logical_or_combinatorial;conic_or_psd;dynamics_or_manifold;implicit_or_failure,F_CONSTRAINT_CLASS,native制約対応、可行点維持、penalty/射影の選択が変わる。,,初期可行点、射影費、constraint evaluation noise/失敗も追加確認。,yes,S054;S055;S056,high,2026-07-13
Q05,5,,勾配・Jacobian・自動微分を信頼して利用できますか？,What derivative information is reliably available?,勾配・Jacobian・自動微分を信頼して利用できますか？,multi_choice,analytic_gradient;autodiff;jacobian_or_hvp;numerical_difference_only;stochastic_gradient;unreliable_or_none;not_differentiable,F_DERIVATIVE_ACCESS,微分の存在、提供可否、数値微分の実用性を分離する。,,finite differenceはO(n)評価、centralは概ねO(2n)、sparsity/coloringやcomplex stepの可否を確認。,yes,S054;S055;S056,high,2026-07-13
Q06,6,,目的・制約を1回評価する費用はどの程度ですか？,How expensive is one evaluation?,目的・制約を1回評価する費用はどの程度ですか？,single_choice,milliseconds_or_less;seconds;minutes;hours_or_more;unknown,F_EVALUATION_COST,反復回数ではなく総評価費で手法を比較する。,,gradient/Jacobian/Hessian、失敗再試行、parallel workerを含むwall-clockを見積もる。,yes,S054;S055;S056,high,2026-07-13
Q07,7,,評価にnoise、乱数、timeout、NaN、失敗がありますか？,Are evaluations noisy or failure-prone?,評価にnoise、乱数、timeout、NaN、失敗がありますか？,multi_choice,deterministic_reliable;small_noise;large_noise;random_seeded;occasional_failure;frequent_failure;timeout_possible;unknown,F_EVALUATION_RELIABILITY,line search、finite difference、surrogate、constraint処理の信頼性が変わる。,,,yes,S054;S055;S056,high,2026-07-13
Q08,8,,変数の数と疎性・block構造はどの程度ですか？,What are the dimension and structure?,変数の数と疎性・block構造はどの程度ですか？,single_choice,under_10;10_to_100;100_to_10000;over_10000;huge_sparse_or_distributed;unknown,F_DIMENSION_CONTEXT,低/高次元は固定閾値でなく評価費・derivative・疎性との関係で判断する。,,,yes,S054;S055;S056,high,2026-07-13
Q09,9,,局所的に良い解で十分ですか、それとも複数basinを探索すべきですか？,Is a local solution sufficient?,局所的に良い解で十分ですか、それとも複数basinを探索すべきですか？,single_choice,local_is_fine;global_candidate_desired;multiple_distinct_solutions;unknown,F_SOLUTION_GOAL,局所法と大域探索は評価費・保証・初期値依存のtrade-off。,,,yes,S054;S055;S056,high,2026-07-13
Q10,10,,大域最適性の証明、gap、上下界が必要ですか？,Is a certificate or optimality gap required?,大域最適性の証明、gap、上下界が必要ですか？,single_choice,no_certificate_needed;gap_desired;global_proof_required;feasible_solution_first;approximation_guarantee;unknown,F_GUARANTEE_GLOBAL_CERTIFICATE,heuristicの良い解と数学的証明を混同しない。,,,yes,S054;S055;S056,high,2026-07-13
Q11,11,,最小二乗、graph、scheduling、錐、dynamic control、多様体などの特殊構造がありますか？,Is there exploitable special structure?,最小二乗、graph、scheduling、錐、dynamic control、多様体などの特殊構造がありますか？,multi_choice,none_known;least_squares;lp_qp_conic;graph_flow_path_matching;scheduling_routing;prox_separable;optimal_control;manifold;stochastic_or_robust;other,F_STRUCTURE_LEAST_SQUARES,汎用最適化の前に専用法・還元を確認する。,,,yes,S054;S055;S056,high,2026-07-13
Q12,12,,同種問題を繰り返し解きますか。並列・GPU・warm startを使えますか？,"Will similar problems be solved repeatedly, and what compute is available?",同種問題を繰り返し解きますか。並列・GPU・warm startを使えますか？,multi_choice,one_off;repeated_similar;online_or_realtime;parallel_evaluations;distributed;gpu_available;warm_start_available,F_REPEATED_SOLVE,factorization再利用、warm start、batch/async評価、real-time deadlineが実装選択を変える。,,,yes,S054;S055;S056,high,2026-07-13
