problem_definition_id,feature_id
\SPROBLEM_BINARY_KNAPSACK,\SF_GUARANTEE_BOUNDS
\SPROBLEM_BINARY_KNAPSACK,\SF_STRUCTURE_KNAPSACK
\SPROBLEM_BINARY_KNAPSACK,\SF_VARIABLE_BINARY
\SPROBLEM_BIOBJECTIVE_CONTINUOUS,\SF_GUARANTEE_PARETO_SET
\SPROBLEM_BIOBJECTIVE_CONTINUOUS,\SF_OBJECTIVE_MULTIOBJECTIVE
\SPROBLEM_BIOBJECTIVE_CONTINUOUS,\SF_STRUCTURE_MULTIOBJECTIVE
\SPROBLEM_CONSTRAINED_CONTINUOUS_2D,\SF_CONSTRAINT_NONLINEAR_INEQUALITY
\SPROBLEM_CONSTRAINED_CONTINUOUS_2D,\SF_OBJECTIVE_QUADRATIC
\SPROBLEM_CONSTRAINED_CONTINUOUS_2D,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\SF_EVALUATION_COST
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\SF_OBJECTIVE_NOISY
\SPROBLEM_EXPENSIVE_BLACK_BOX_1D,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_LINEAR_ASSIGNMENT,\SF_OBJECTIVE_LINEAR
\SPROBLEM_LINEAR_ASSIGNMENT,\SF_STRUCTURE_ASSIGNMENT
\SPROBLEM_LINEAR_ASSIGNMENT,\SF_VARIABLE_PERMUTATION
\SPROBLEM_MULTIMODAL_CONTINUOUS,\SF_NUMERICAL_MANY_LOCAL_OPTIMA
\SPROBLEM_MULTIMODAL_CONTINUOUS,\SF_OBJECTIVE_MULTIMODAL
\SPROBLEM_MULTIMODAL_CONTINUOUS,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_NONLINEAR_LEAST_SQUARES,\SF_CONSTRAINT_BOUNDS
\SPROBLEM_NONLINEAR_LEAST_SQUARES,\SF_STRUCTURE_NONLINEAR_LEAST_SQUARES
\SPROBLEM_NONLINEAR_LEAST_SQUARES,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_NONSMOOTH_CONTINUOUS,\SF_DERIVATIVE_NOT_DIFFERENTIABLE
\SPROBLEM_NONSMOOTH_CONTINUOUS,\SF_OBJECTIVE_NONSMOOTH
\SPROBLEM_NONSMOOTH_CONTINUOUS,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_QUADRATIC_CONTINUOUS,\SF_OBJECTIVE_QUADRATIC
\SPROBLEM_QUADRATIC_CONTINUOUS,\SF_OBJECTIVE_STRONGLY_CONVEX
\SPROBLEM_QUADRATIC_CONTINUOUS,\SF_VARIABLE_CONTINUOUS
\SPROBLEM_ROSENBROCK,\SF_NUMERICAL_NARROW_VALLEY
\SPROBLEM_ROSENBROCK,\SF_OBJECTIVE_NONCONVEX
\SPROBLEM_ROSENBROCK,\SF_VARIABLE_CONTINUOUS
