term_id,term_ja,term_en,definition,common_confusion,related_entity_ids,source_ids,confidence,last_verified
\SG001,\S最適化問題,\SOptimization problem,\S目的関数を変数と制約の下で最小化または最大化する問題。,\S求根・方程式・可行性・推定と同一とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG002,\S問題アーキタイプ,\SProblem archetype,\S繰り返し現れる問題構造を代表する再利用可能な型。,\S個別instanceそのものではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG003,\S問題特徴,\SProblem feature,\S変数型、凸性、微分、noise、費用、保証等の選択軸。,\S一つの問題class名に押し込まない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG004,\S手法family,\SMethod family,\S共通原理を持つ上位概念。,\SAPI指定名と同じ階層ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG005,\Salgorithm変種,\SAlgorithm variant,\S一般手法の具体的な更新則・制約対応・subproblem解法。,\Slibrary実装とは分離。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG006,\S実装,\SImplementation,\Slibrary/solver/APIとして提供されるsoftware実体。,\S理論上の手法と機能・数値挙動が一致するとは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG007,\S適用可能性,\SApplicability,\S数学的前提を満たし手法を使えること。,\S実務上の推奨とは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG008,\S実務推奨,\SPractical recommendation,\S費用・安定性・使いやすさ・diagnosticを含む条件付き推薦。,\S理論上可能というだけでは推薦しない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG009,\S局所解,\SLocal optimum,\S近傍内でより良い可行解がない解。,\S非凸で大域解とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG010,\S大域解,\SGlobal optimum,\S全可行領域で最良の解。,\Sglobal searchの出力が自動的に大域解ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG011,\S大域候補,\SGlobal candidate,\S大域探索により得た良い候補だが証明はない解。,\Scertificateを持たない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG012,\S最適性証明,\SOptimality certificate,\Sdual bound、gap、KKT/convexity等で最適性を裏付ける量。,\S局所KKTは非凸大域証明ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG013,\S最適性gap,\SOptimality gap,\Sincumbentとvalid boundの差。,\Ssolverごとの相対gap定義を確認。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG014,\Sprimal bound,\SPrimal bound,\S既知の可行解の目的値によるbound。,\Sminimizationでは通常upper bound。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG015,\Sdual bound,\SDual bound,\Srelaxation/dualから得るvalid bound。,\Sminimizationでは通常lower bound。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG016,\S可行解,\SFeasible solution,\S全制約を許容差内で満たす解。,\Ssolver success flagだけで判定しない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG017,\SKKT条件,\SKarush-Kuhn-Tucker conditions,\S滑らかな制約問題の一階最適性条件。,\S正則性と凸性により意味が変わる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG018,\Sstationarity,\SStationarity,\S許容方向に一階改善方向がない状態。,\S大域最適性とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG019,\S凸問題,\SConvex problem,\S凸目的と凸可行集合を持つ最小化問題。,\S変数変換後やdomainを含めて確認。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG020,\S強凸,\SStrong convexity,\S目的が二次的な下側曲率を持つ性質。,\S数値的条件の良さと同一ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG021,\S非凸,\SNonconvex,\S凸性を満たさず局所解やsaddleを持ち得る問題。,\Sすべてが多峰性とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG022,\Ssmooth,\SSmooth,\S必要階数の導関数が連続に存在する性質。,\Sgradient未提供と非smoothは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG023,\S非smooth,\SNonsmooth,\Skink等で通常のgradientが存在しない点を持つ。,\S不連続とは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG024,\S不連続,\SDiscontinuous,\S関数値が連続でない。,\Sderivative-freeなら常に安全という意味ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG025,\S解析勾配,\SAnalytic gradient,\S利用者が式・codeとして提供するgradient。,\S正しいとは限らず検査が必要。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
