problem_feature_map_id,problem_id,feature_id,feature_value_id,value_numeric,value_text,truth_status,is_defining,conditions,confidence,source_ids,last_verified
\SPFM00001,\SPA001,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00002,\SPA001,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00003,\SPA001,\SF_CONVEXITY,\SFV0023,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00004,\SPA001,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00005,\SPA001,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00006,\SPA001,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00007,\SPA001,\SF_DIMENSION_CONTEXT,\SFV0053,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00008,\SPA001,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00009,\SPA001,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00010,\SPA001,\SF_SOLUTION_GOAL,\SFV0071,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00011,\SPA001,\SF_SCALE_STRUCTURE,\SFV0075,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00012,\SPA001,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00013,\SPA001,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00014,\SPA001,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S056,\S2026-07-13
\SPFM00015,\SPA002,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00016,\SPA002,\SF_OBJECTIVE_FORM,\SFV0017,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
