mitigation_id,failure_mode_id,priority,action,applicability,tradeoff
\SMITIGATION_FM003,\SFM003,\I1,\Ssample average、SPSA、noise-aware method,\S必要評価数がbudget超ならBO/DFO,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM007,\SFM007,\I1,\S変数変換/solver scaling,\S改善しなければpreconditioned/HVP法,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM009,\SFM009,\I1,\Sscaling、regularization、preconditioner,\Sfirst-order/prox/reparameterize,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM011,\SFM011,\I1,\Sfeasible generator、slacks,\SMADS/ALM/phase-Iへ,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM014,\SFM014,\I1,\Sisolate constraints、relax with costs,\Soptimization前にmodel修正,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM015,\SFM015,\I1,\Stighten/scale、report residual,\S別solverでcross-check,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM016,\SFM016,\I1,\S明示的にlocal label,\S証明必要ならglobal/certificate solver,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM022,\SFM022,\I1,\Sdimension reduction/gradient estimation,\SL-BFGS/SPSA/structure法へ,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM024,\SFM024,\I1,\Sscale-aware tolerance,\S早期停止/適切精度へ,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM025,\SFM025,\I1,\Sstatus taxonomy mapping,\S残差とcross-solverで検証,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM033,\SFM033,\I1,\Stransform、model change、trust region,\Srandom/CMA/MADSへfallback,"\SMay change runtime, guarantees, or solution interpretation."
\SMITIGATION_FM037,\SFM037,\I1,\Srestart/mutation/niching,\SMADS/BO/multistartへ,"\SMay change runtime, guarantees, or solution interpretation."
