vocab_name,value_code,label_ja,definition,sort_order,deprecated,notes
truth_status,yes,はい,確認済みの肯定,1,no,
truth_status,no,いいえ,確認済みの否定,2,no,
truth_status,conditional,条件付き,条件を満たす場合,3,no,
truth_status,unknown,不明,根拠不足,4,no,
truth_status,not_applicable,該当なし,概念非該当,5,no,
truth_status,implementation_dependent,実装依存,実装・設定で変動,6,no,
fit_level,default_choice,標準第一候補,通常条件で最初に検討,1,no,
fit_level,strongly_recommended,強く推奨,構造と強く整合,2,no,
fit_level,recommended,推奨,有力候補,3,no,
fit_level,viable,利用可能,妥当な候補,4,no,
fit_level,conditional,条件付き,追加条件が必要,5,no,
fit_level,specialized,特殊用途,特定構造に強い,6,no,
fit_level,last_resort,最終手段,他が使えない場合,7,no,
fit_level,generally_unsuitable,一般に不向き,通常は避ける,8,no,
fit_level,incompatible,非対応,前提が非互換,9,no,
fit_level,unknown,不明,根拠不足,10,no,
beginner_priority,first_try,最初に試す,初心者の第一候補,1,no,
beginner_priority,second_try,第二候補,次に試す,2,no,
beginner_priority,expert_guidance_recommended,専門家支援推奨,設計・設定に専門性,3,no,
beginner_priority,expert_only,専門家向け,高度な知識が前提,4,no,
beginner_priority,avoid_as_default,既定では避ける,無条件な第一選択にしない,5,no,
confidence,high,高,公式資料または原典で直接確認,1,no,
confidence,medium,中,複数根拠があるが条件依存,2,no,
confidence,low,低,限定的根拠,3,no,
confidence,unverified,未確認,一次情報で未確認,4,no,
method_level,family,手法ファミリー,上位概念,1,no,
method_level,general_algorithm,一般アルゴリズム,理論上の手法,2,no,
method_level,variant,具体的変種,一般手法の変種,3,no,
method_level,implementation_alias,実装名,API固有名,4,no,
solution_scope,local,局所,局所停留点・局所解,1,no,
solution_scope,convex_global,凸大域,凸性下の大域解,2,no,
solution_scope,global_candidate,大域候補,探索するが証明なし,3,no,
solution_scope,global_certificate,大域証明,証明・gapを提供,4,no,
solution_scope,feasible_only,実行可能解,可行解優先,5,no,
solution_scope,pareto,Pareto,非劣解集合,6,no,
solution_scope,anytime,anytime,途中解を改善,7,no,
determinism,deterministic,決定論的,同条件で同軌跡,1,no,
determinism,stochastic,確率的,乱数を利用,2,no,
determinism,hybrid,混合,決定論と確率を併用,3,no,
determinism,implementation_dependent,実装依存,並列・設定で変動,4,no,
