method_id,name_ja,name_en,aliases,method_family_id,method_level,summary,problem_classes,required_assumptions,derivative_information,variable_types,constraint_support,convex_fit,nonconvex_applicability,solution_scope,determinism,exactness,theoretical_guarantee,optimality_certificate,scalability,memory_tendency,per_iteration_cost,evaluation_pattern,parallelism,initialization_sensitivity,hyperparameter_sensitivity,scaling_sensitivity,noise_robustness,discontinuity_robustness,constraint_violation_handling,warm_start,online_use,strengths,weaknesses,typical_failures,avoid_conditions,first_choice_conditions,second_choice_conditions,switch_signals,beginner_level,tuning_difficulty,implementation_difficulty,explainability,stopping_criteria,diagnostic_metrics,related_method_ids,parent_method_id,child_method_ids,reference_source_ids,confidence,last_verified
MF_SMOOTH_LOCAL,滑らかな局所連続最適化,Smooth local continuous optimization,,MF_SMOOTH_LOCAL,family,滑らかな連続目的に対し、勾配・曲率・線探索を利用して局所停留点を求める手法群。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,medium_to_very_high_by_variant,low_to_high_by_curvature_model,勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,medium,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,,M_GRADIENT_DESCENT;M_NLCG;M_NEWTON;M_NEWTON_CG;M_BFGS;M_LBFGS;M_LBFGSB,S002;S056;S057,high,2026-07-13
MF_TRUST_REGION,信頼領域法,Trust-region methods,,MF_TRUST_REGION,family,局所二次モデルを信頼できる半径内で最小化し、実測改善との比で半径を更新する手法群。,連続;滑らか;局所最適化;最小二乗,局所モデルと微分情報が利用可能。,gradient;hessian_or_hvp_or_jacobian,continuous,unconstrained;bounds_or_general_by_variant,strong,yes_local_only,local,deterministic,local_numerical,標準仮定下で一階/二階停留点への大域的収束理論を持つ変種がある。,first_order_residual;model_agreement,medium_to_very_high_by_subproblem_solver,medium,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,HVP/Jacobianが得られ、Newton系を安定に使いたい。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,,M_TRUST_NCG;M_TRUST_KRYLOV;M_TRUST_EXACT;M_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,S002;S003;S056,high,2026-07-13
MF_CONSTRAINED_NLP,制約付き非線形計画,Constrained nonlinear programming,,MF_CONSTRAINED_NLP,family,等式・不等式・上下限を伴う滑らかな連続非線形問題をKKT条件、SQP、内点法等で解く手法群。,continuous_nlp;constraints,制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,gradient;jacobian;optional_hessian_or_hvp,continuous,bounds;linear;nonlinear,strong,yes_local_only,local,deterministic,local_numerical,正則性と二階条件等の下でKKT点への収束。凸問題では大域最適性。,KKT_residual;primal_dual_residual,medium_to_high_with_sparsity,medium_to_high,KKT系またはQP部分問題の解法。,目的・勾配・制約・Jacobianを反復評価。,sparse_linear_algebra,medium_to_high_nonconvex,medium,very_high,low,low,filter;merit;barrier;penalty_by_variant,implementation_dependent,conditional,一般制約を直接扱う;KKT診断;疎性利用,微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,infeasible_start;constraint_qualification_failure;bad_jacobian;poor_scaling,離散変数;不連続制約;強いノイズ,滑らかな一般制約NLPで、正確なJacobianがある。,微分不要法では評価回数が多すぎる。,KKT残差停滞;制約違反が減らない;正則化反復が増大。,medium,high,high,high,KKT_residual;primal_feasibility;dual_feasibility;complementarity;budget,constraint_violation;stationarity;complementarity;factorization_status,,,M_SQP;M_SLSQP;M_INTERIOR_POINT_NLP;M_AUGMENTED_LAGRANGIAN;M_PROJECTED_GRADIENT;M_ACTIVE_SET,S017;S029;S030;S056;S064,high,2026-07-13
MF_COMPOSITE_CONVEX,凸・複合・近接最適化,Convex composite and proximal optimization,,MF_COMPOSITE_CONVEX,family,滑らかな項と非滑らかな正則化・制約の分離構造、近接作用素、射影、分解を利用する手法群。,convex;composite;nonsmooth;sparse;distributed,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,gradient_of_smooth_part;prox_or_subgradient,continuous;structured,simple_sets;separable_constraints;consensus,primary,conditional_without_global_guarantee,convex_global,deterministic,local_numerical,凸性・Lipschitz性等の下で目的gapや残差の収束率。,primal_dual_gap;fixed_point_residual,high_to_very_high,low_to_medium,勾配・prox・射影・分離部分問題。,多反復だが各反復は比較的安価。,high_for_separable_or_distributed,low_convex,medium,high,medium_by_variant,nonsmooth_yes_discontinuous_no,projection;prox;dual_variables,yes,yes_by_variant,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,step_size_too_large;admm_residual_imbalance;slow_subgradient,非凸で証明必須;prox/射影が高価;離散変数,凸複合構造と安価なprox/射影がある。,汎用NLPが規模・非滑らかさで苦戦。,残差の一方だけ停滞;反復回数過大;proxが支配的。,medium,medium,medium,high,primal_dual_residual;objective_gap;fixed_point_residual;budget,primal_residual;dual_residual;step_size;prox_time,,,M_PROX_GRADIENT;M_FISTA;M_COORDINATE_DESCENT;M_ADMM;M_MIRROR_DESCENT;M_SUBGRADIENT;M_BUNDLE,S055;S061;S066;S067,high,2026-07-13
MF_DFO_LOCAL,局所微分不要最適化,Local derivative-free optimization,,MF_DFO_LOCAL,family,関数値または補間モデルだけを用いて局所解を探す直接探索・モデルベース手法群。,continuous;black_box;local,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,function_values_only,continuous;bounds_by_variant,bounds;general_constraints_by_variant,viable,yes_local_only,local,implementation_dependent,heuristic,MADS等は仮定下でstationarity保証。単体法などは一般保証が限定的。,usually_none;mesh_or_model_stationarity,low_to_medium,low_to_medium,複数の関数評価と幾何更新。,次元に応じて多数評価。数値微分より頑健な場合がある。,limited_to_moderate,high,medium,high,low_to_medium,medium_by_direct_search,filter;progressive_barrier;penalty;geometry_by_variant,yes,rare,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,simplex_degeneracy;mesh_stagnation;poor_scaling;noise_floor,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,低〜中次元、評価が比較的安価、微分が信用できない。,数値微分型勾配法が不安定。,幾何が退化;評価改善なし;次元に比べ予算不足。,medium,medium,medium,medium,mesh_size;trust_region_radius;step_size;objective_change;budget,evaluation_count;simplex_geometry;mesh_size;constraint_violation,,,M_NELDER_MEAD;M_POWELL;M_PATTERN_SEARCH;M_MADS;M_COBYLA;M_COBYQA;M_SPSA,S002;S018;S031;S060;S063,high,2026-07-13
MF_GLOBAL_SEARCH,大域探索・multi-start,Global search and multi-start,,MF_GLOBAL_SEARCH,family,多start、領域分割、確率的遷移等により複数basinを探索し、大域的に良い候補を探す手法群。,bounded_nonconvex;multimodal;black_box,有限探索領域と十分な評価予算。証明型では追加構造。,function_values;optional_local_derivatives,continuous;bounds,bounds;limited_general_constraints,usually_unnecessary,primary,global_candidate,hybrid,heuristic,確率的漸近保証または限定条件下の決定論的保証。有限予算の証明は通常ない。,usually_none;method_specific,low_to_medium,medium,複数候補・局所探索・領域分割。,局所法より大幅に多い評価。,high_for_multistart_or_population,lower_than_single_start,medium,high,medium_by_variant,medium,penalty;feasibility_rules;local_solver,conditional,rare,多峰性;複数解候補;局所法の初期値依存を緩和,評価費大;証明が弱い;次元の呪い,budget_exhaustion;premature_convergence;missed_basins,高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ,低次元で大域候補が必要、評価予算がある。,複数start局所法で解が不安定。,評価予算消費に対しincumbent改善が小さい;多様性消失。,medium,medium,medium,medium,evaluation_budget;time_budget;global_gap_if_available;stall,best_so_far;diversity;coverage;local_refinement_success,,,M_MULTISTART;M_BASIN_HOPPING;M_SHGO;M_DIRECT;M_DIFFERENTIAL_EVOLUTION;M_SIMULATED_ANNEALING,S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
MF_EVOLUTIONARY,進化計算・population探索,Evolutionary and population-based optimization,,MF_EVOLUTIONARY,family,個体群を選択・変異・交叉・共分散適応等で更新する確率的大域探索手法群。,black_box;nonconvex;multimodal;mixed_by_encoding,評価予算と妥当な変数表現・境界・乱数管理。,function_values_only,continuous;integer;categorical_by_variant,bounds;penalty;repair;feasibility_rules,usually_unnecessary,primary,global_candidate,stochastic,metaheuristic,通常は有限予算の大域最適性証明なし。,none,low_to_medium,medium_to_high_population,population_size × evaluation cost。,大量の並列評価に適する。,high,medium,medium_to_high,high,medium,high,penalty;repair;feasibility_ranking,conditional,rare,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,premature_convergence;diversity_loss;constraint_penalty_failure,評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,評価並列化可能で、不連続・多峰性・微分不能。,局所DFOが初期値依存。,多様性崩壊;改善停滞;可行個体が生成されない。,medium,high,medium,low,evaluation_budget;time;stall;diversity,best_so_far;population_diversity;feasible_fraction;seed_variance,,,M_CMA_ES;M_GENETIC_ALGORITHM;M_PARTICLE_SWARM,S032;S033;S040;S058;S074,high,2026-07-13
MF_SURROGATE_HPO,surrogate・Bayesian最適化・HPO,"Surrogate, Bayesian optimization, and HPO",,MF_SURROGATE_HPO,family,評価履歴からsurrogateと不確実性または順位modelを構築し、次の評価点やresource配分を選ぶ手法群。,expensive_black_box;hyperparameter_optimization;adaptive_experimentation,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,function_values;optional_gradients,continuous;integer;categorical;mixed_by_model,bounds;black_box_constraints_by_framework,not_required,primary,global_candidate,stochastic,statistical,kernel・acquisition等の仮定下のregret保証があるが、実装一般への保証ではない。,none;posterior_uncertainty_not_certificate,low_to_medium_dimensions;high_cost_evaluations,medium_to_high_with_observations,surrogate fitting + acquisition optimization。,少ない高価評価を逐次またはbatchで選ぶ。,batch_or_asynchronous,medium,high,high,medium_to_high_if_modeled,model_dependent,constraint_surrogate;feasibility_probability;penalty,yes,yes,高価な評価の節約;不確実性活用;条件付き空間対応の変種,高次元・非定常・model misspecification;acquisition最適化;証明ではない,surrogate_mismatch;acquisition_failure;overconfident_noise_model;conditional_space_error,評価が安価で大量可能;極端高次元;再現不能noiseを未model化,低〜中次元で1評価が高価、総評価数が小さい。,random/evolutionary searchでは予算不足。,surrogate CVが悪い;uncertainty不校正;acquisitionが同一点。,medium,high,high,medium,evaluation_budget;time;expected_improvement;confidence_or_stall,best_so_far;surrogate_error;calibration;acquisition_value;failed_trials,,,M_BAYESIAN_OPT_GP;M_TPE;M_SMAC_RF;M_TURBO_SAASBO;M_RANDOM_SEARCH;M_HYPERBAND_ASHA;M_PBT,S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MF_LP_QP_CONIC,線形・二次・錐最適化,"Linear, quadratic, and conic optimization",,MF_LP_QP_CONIC,family,LP、凸QP、SOCP、SDP等の凸構造を利用し、simplex、barrier、operator splitting等で解く手法群。,LP;convex_QP;conic;SDP,問題が対応する標準形に表現され、凸性・cone条件が満たされる。,explicit_coefficients,continuous;cone_variables,linear;quadratic_conic;semidefinite_by_solver,primary,usually_no_except_solver_extensions,convex_global,deterministic,exact_with_tolerance,可行性・強双対性等の条件下で大域解とprimal-dual証明量。,primal_dual_residual;duality_gap;infeasibility_certificate_by_method,high_to_huge_sparse,medium_to_high,basis update、KKT factorization、またはsparse matrix-vector積。,black-box評価ではなく係数行列を直接利用。,linear_algebra_or_first_order,low,low_to_medium,high,not_applicable_input_data_sensitivity,not_applicable,primal_dual_algorithm,implementation_dependent,yes_for_parametric_by_solver,大域性;gap/dual;疎性;成熟solver,形式に入らない非線形・非凸には不適;数値スケール・退化,infeasible_or_unbounded;degeneracy;poor_scaling;factorization_memory,black-box;一般非凸を凸として誤分類;係数が不正確,LP/QP/錐構造が明示できる。,一般NLPへ落とす前に構造変換可能。,presolveでinfeasible;数値warning;gap停滞;memory超過。,low_to_medium,low_to_medium,medium,high,primal_dual_feasibility;duality_gap;time;node_or_iteration_limit,primal_residual;dual_residual;gap;condition;presolve_reductions,,,M_SIMPLEX;M_DUAL_SIMPLEX;M_BARRIER_LP_QP;M_PDLP;M_ACTIVE_SET_QP;M_ADMM_QP;M_PRIMAL_DUAL_CONIC,S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MF_DISCRETE_EXACT,離散・混合整数の厳密探索,Exact discrete and mixed-integer optimization,,MF_DISCRETE_EXACT,family,緩和下界、分枝、cut、incumbentを用いてMILP/MIQP/MINLP等を探索し、gapで品質を示す手法群。,MILP;MIQP;MINLP;combinatorial,有限離散領域、妥当な定式化、solverが扱える連続緩和。,model_coefficients;NLP_derivatives_for_MINLP,binary;integer;mixed,linear;quadratic;nonlinear_by_method,relaxation_dependent,yes_by_spatial_methods,global_certificate,implementation_dependent,exact_with_tolerance,探索完了時にincumbentとboundから最適性gapを証明。,MIP_gap;primal_bound;dual_bound,highly_instance_dependent,high_tree_and_cuts,緩和問題 + cut + heuristic + branching。,node数が指数的になり得る。,tree_parallelism,low_to_medium_with_incumbent,medium,high,low_model_coefficients,native_discrete,feasibility_tolerances;branching,yes_by_solver,conditional,gap/証明;論理・整数;強力presolve/cut,指数的;定式化品質(Big-M/対称性)依存;memory,weak_relaxation;bad_big_M;symmetry;no_incumbent;tree_explosion,noiseを含むblack-box;曖昧なlogic;巨大Big-M,整数・binaryと線形/対応非線形model、証明またはgapが必要。,CP/graph/DPの専用構造が弱い。,root gapが大;node増加;可行解なし;memory逼迫。,medium,high,medium,high,optimality_gap;time;node_limit;solution_limit,incumbent;best_bound;gap;nodes;root_relaxation;cut_counts,,,M_BRANCH_BOUND;M_BRANCH_CUT;M_OUTER_APPROX_MINLP;M_SPATIAL_BRANCH_BOUND,S005;S016;S021;S024;S025;S028,high,2026-07-13
