source_id,source_type,title,author_or_organization,publication_date,accessed_date,url,supported_claim,source_quality,notes,currentness_status
\SS001,\Sofficial_documentation,\SSciPy Optimization and root finding,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/optimize.html,\SSciPy optimize API分類,\Sprimary,\S,\Sverified_current
\SS002,\Sofficial_documentation,\Sscipy.optimize.minimize,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.minimize.html,\Sminimize手法・微分・制約,\Sprimary,\S,\Sverified_current
\SS003,\Sofficial_documentation,\Sscipy.optimize.least_squares,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.least_squares.html,\S非線形最小二乗,\Sprimary,\S,\Sverified_current
\SS004,\Sofficial_documentation,\Sscipy.optimize.linprog,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.linprog.html,\SLP/HiGHS,\Sprimary,\S,\Sverified_current
\SS005,\Sofficial_documentation,\Sscipy.optimize.milp,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.milp.html,\SMILP/HiGHS,\Sprimary,\S,\Sverified_current
\SS006,\Sofficial_documentation,\Sscipy.optimize.differential_evolution,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.differential_evolution.html,\S差分進化,\Sprimary,\S,\Sverified_current
\SS007,\Sofficial_documentation,\Sscipy.optimize.shgo,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.shgo.html,\SSHGO,\Sprimary,\S,\Sverified_current
\SS008,\Sofficial_documentation,\Sscipy.optimize.direct,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.direct.html,\SDIRECT,\Sprimary,\S,\Sverified_current
\SS009,\Sofficial_documentation,\Sscipy.optimize.dual_annealing,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.dual_annealing.html,\SDual annealing,\Sprimary,\S,\Sverified_current
\SS010,\Sofficial_documentation,\SCVXPY,\SCVXPY,\S,\S2026-07-13,\Shttps://www.cvxpy.org/,\SDCPモデリング,\Sprimary,\S,\Sverified_current
\SS011,\Sofficial_documentation,\SCVXPY Solver Features,\SCVXPY,\S,\S2026-07-13,\Shttps://www.cvxpy.org/tutorial/solvers/index.html,\Sbackend対応,\Sprimary,\S,\Sverified_current
\SS012,\Sofficial_documentation,\SOSQP Documentation,\SOSQP,\S,\S2026-07-13,\Shttps://osqp.org/docs/,\S凸QP/ADMM/warm start,\Sprimary,\S,\Sverified_current
\SS013,\Sofficial_documentation,\SSCS Documentation,\SSCS,\S,\S2026-07-13,\Shttps://www.cvxgrp.org/scs/,\S一次錐solver,\Sprimary,\S,\Sverified_current
\SS014,\Sofficial_documentation,\SClarabel Documentation,\SClarabel,\S,\S2026-07-13,\Shttps://clarabel.org/stable/,\S内点錐solver,\Sprimary,\S,\Sverified_current
