method_implementation_map_id,method_id,implementation_id,support_level,api_name,method_selector,implementation_notes,limitations,source_ids,confidence,last_verified
MIM00001,M_BFGS,I_SCIPY_BFGS,native,scipy.optimize.minimize,BFGS,APIが受け付けることと実務適合性を区別する。methodごとに制約・微分・statusが異なる。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00002,M_LBFGSB,I_SCIPY_LBFGSB,native,scipy.optimize.minimize,L-BFGS-B,高次元bounds付きの有力候補。変数scale、finite-difference step、projected gradientを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002;S065,high,2026-07-13
MIM00003,M_INTERIOR_POINT_NLP,I_SCIPY_TRUST_CONSTR,native,scipy.optimize.minimize,trust-constr,非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00004,M_TRUST_KRYLOV,I_SCIPY_TRUST_CONSTR,native,scipy.optimize.minimize,trust-constr,非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00005,M_SQP,I_SCIPY_TRUST_CONSTR,native,scipy.optimize.minimize,trust-constr,非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00006,M_SLSQP,I_SCIPY_SLSQP,native,scipy.optimize.minimize,SLSQP,中小規模の便利な候補だが、status成功だけでなく最終constraint violationを再計算する。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002;S064,high,2026-07-13
MIM00007,M_NELDER_MEAD,I_SCIPY_NELDER_MEAD,native,scipy.optimize.minimize,Nelder-Mead,低次元・安価評価向け。boundsは厳密な制約最適化と同等ではなく、単体退化とscaleに注意。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002;S063,high,2026-07-13
MIM00008,M_POWELL,I_SCIPY_POWELL,native,scipy.optimize.minimize,Powell,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00009,M_COBYLA,I_SCIPY_COBYLA,native,scipy.optimize.minimize,COBYLA,equalitiesは通常二つのinequality等へ変換が必要。constraint toleranceと最終可行性を確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00010,M_COBYQA,I_SCIPY_COBYQA,native,scipy.optimize.minimize,COBYQA,quadratic interpolation geometryと評価予算に注意。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00011,M_GAUSS_NEWTON,I_SCIPY_LEAST_SQUARES_TRF,native,scipy.optimize.least_squares,trf,residual vectorとJacobian sparsityを直接渡す。robust lossも選択可能。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S003,high,2026-07-13
MIM00012,M_TRUST_KRYLOV,I_SCIPY_LEAST_SQUARES_TRF,native,scipy.optimize.least_squares,trf,residual vectorとJacobian sparsityを直接渡す。robust lossも選択可能。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S003,high,2026-07-13
MIM00013,M_LEVENBERG_MARQUARDT,I_SCIPY_LEAST_SQUARES_LM,native,scipy.optimize.least_squares,lm,bounds非対応。残差数・変数数、rank deficiency、Jacobian品質を確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S003,high,2026-07-13
MIM00014,M_SIMPLEX,I_SCIPY_LINPROG_HIGHS,native,scipy.optimize.linprog,highs;highs-ds;highs-ipm,LPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S004;S016,high,2026-07-13
MIM00015,M_DUAL_SIMPLEX,I_SCIPY_LINPROG_HIGHS,native,scipy.optimize.linprog,highs;highs-ds;highs-ipm,LPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S004;S016,high,2026-07-13
MIM00016,M_BARRIER_LP_QP,I_SCIPY_LINPROG_HIGHS,native,scipy.optimize.linprog,highs;highs-ds;highs-ipm,LPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S004;S016,high,2026-07-13
MIM00017,M_BRANCH_CUT,I_SCIPY_MILP_HIGHS,native,scipy.optimize.milp,HiGHS,integrality・MIP gap・time/node limitを明示。Big-Mとrelaxation品質を診断。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S005;S016,high,2026-07-13
MIM00018,M_BRANCH_BOUND,I_SCIPY_MILP_HIGHS,native,scipy.optimize.milp,HiGHS,integrality・MIP gap・time/node limitを明示。Big-Mとrelaxation品質を診断。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S005;S016,high,2026-07-13
MIM00019,M_DIFFERENTIAL_EVOLUTION,I_SCIPY_DIFFERENTIAL_EVOLUTION,native,scipy.optimize.differential_evolution,,population × generationsが評価数。並列/seed/polish/constraint処理を記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S006,high,2026-07-13
MIM00020,M_SHGO,I_SCIPY_SHGO,native,scipy.optimize.shgo,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S007;S072,high,2026-07-13
MIM00021,M_DIRECT,I_SCIPY_DIRECT,native,scipy.optimize.direct,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S008;S073,high,2026-07-13
MIM00022,M_SIMULATED_ANNEALING,I_SCIPY_DUAL_ANNEALING,native,scipy.optimize.dual_annealing,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S009,high,2026-07-13
MIM00023,M_BASIN_HOPPING,I_SCIPY_BASINHOPPING,native,scipy.optimize.basinhopping,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00024,M_MULTISTART,I_SCIPY_BASINHOPPING,native,scipy.optimize.basinhopping,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S001;S002,high,2026-07-13
MIM00025,M_SIMPLEX,I_HIGHS_NATIVE,native,highspy.Highs / C++ API,,Native APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S016,high,2026-07-13
MIM00026,M_DUAL_SIMPLEX,I_HIGHS_NATIVE,native,highspy.Highs / C++ API,,Native APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S016,high,2026-07-13
MIM00027,M_BARRIER_LP_QP,I_HIGHS_NATIVE,native,highspy.Highs / C++ API,,Native APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S016,high,2026-07-13
MIM00028,M_BRANCH_CUT,I_HIGHS_NATIVE,native,highspy.Highs / C++ API,,Native APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S016,high,2026-07-13
MIM00029,M_ADMM_QP,I_OSQP,native,osqp.OSQP / native APIs,,P must be positive semidefinite. factorization caching・warm startは反復QP/MPCで有効。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S012;S062,high,2026-07-13
MIM00030,M_ADMM,I_SCS,native,scs.solve / native APIs,,一次法。非常に大規模/中精度に有力だが、status inaccurateとresidualを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S013,high,2026-07-13
MIM00031,M_PRIMAL_DUAL_CONIC,I_SCS,native,scs.solve / native APIs,,一次法。非常に大規模/中精度に有力だが、status inaccurateとresidualを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S013,high,2026-07-13
