case_alternative_map_id,case_id,alternative_id,sequence,rationale,source_ids,confidence,last_verified
\SCAM0001,\SEC001,\SALT_CLOSED_FORM,\I1,\S滑らかな低次元の制約なし連続最適化での事前確認: 反復誤差と初期値依存を避ける,\SS002;S056;S057;S003;S054;S055,\Shigh,\S2026-07-13
\SCAM0002,\SEC001,\SALT_ROOT,\I2,\S滑らかな低次元の制約なし連続最適化での事前確認: スカラー目的化を避ける,\SS002;S056;S057;S003;S054;S055,\Shigh,\S2026-07-13
\SCAM0003,\SEC002,\SALT_DECOMPOSITION,\I1,\S高次元だが勾配が利用可能での事前確認: memory/parallel性,\SS019;S046;S056;S002;S057;S065;S054;S055,\Shigh,\S2026-07-13
\SCAM0004,\SEC003,\SALT_CLOSED_FORM,\I1,\S解析的勾配はないが数値微分が可能での事前確認: 反復誤差と初期値依存を避ける,\SS002;S056;S057;S018;S031;S060;S063;S054;S055,\Shigh,\S2026-07-13
\SCAM0005,\SEC004,\SALT_SURROGATE,\I1,\S数値微分の評価コストが大きすぎるでの事前確認: 評価数削減,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,\Shigh,\S2026-07-13
\SCAM0006,\SEC004,\SALT_DECOMPOSITION,\I2,\S数値微分の評価コストが大きすぎるでの事前確認: memory/parallel性,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,\Shigh,\S2026-07-13
\SCAM0007,\SEC005,\SALT_STAT_INFERENCE,\I1,\Snoiseを含むblack-box関数での事前確認: point optimumだけでなく不確実性,\SS032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0008,\SEC005,\SALT_SURROGATE,\I2,\Snoiseを含むblack-box関数での事前確認: 評価数削減,\SS032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0009,\SEC006,\SALT_SURROGATE,\I1,\S一評価が数時間かかる低次元問題での事前確認: 評価数削減,\SS035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,\Smedium,\S2026-07-13
\SCAM0010,\SEC006,\SALT_STAT_INFERENCE,\I2,\S一評価が数時間かかる低次元問題での事前確認: point optimumだけでなく不確実性,\SS035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,\Smedium,\S2026-07-13
\SCAM0011,\SEC007,\SALT_DECOMPOSITION,\I1,\S高次元black-box問題での事前確認: memory/parallel性,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,\Shigh,\S2026-07-13
\SCAM0012,\SEC007,\SALT_SURROGATE,\I2,\S高次元black-box問題での事前確認: 評価数削減,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,\Shigh,\S2026-07-13
\SCAM0013,\SEC008,\SALT_GRAPH,\I1,\S0-1変数と線形制約での事前確認: 多項式時間構造を利用,\SS005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0014,\SEC008,\SALT_DYNAMIC_PROGRAMMING,\I2,\S0-1変数と線形制約での事前確認: 部分問題を再利用,\SS005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0015,\SEC009,\SALT_RELAXATION,\I1,\S整数変数と非線形目的での事前確認: 証明・bound,\SS021;S029;S005;S016;S024;S025;S028;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0016,\SEC009,\SALT_DECOMPOSITION,\I2,\S整数変数と非線形目的での事前確認: memory/parallel性,\SS021;S029;S005;S016;S024;S025;S028;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0017,\SEC010,\SALT_GRAPH,\I1,\S線形計画問題での事前確認: 多項式時間構造を利用,\SS004;S016;S055;S010;S012;S013;S014;S062;S054;S056,\Shigh,\S2026-07-13
\SCAM0018,\SEC010,\SALT_SPECIALIZED,\I2,\S線形計画問題での事前確認: 保証・数値性・速度,\SS004;S016;S055;S010;S012;S013;S014;S062;S054;S056,\Shigh,\S2026-07-13
\SCAM0019,\SEC011,\SALT_SPECIALIZED,\I1,\S凸二次計画問題での事前確認: 保証・数値性・速度,\SS012;S016;S062;S004;S010;S013;S014;S055;S054;S056,\Shigh,\S2026-07-13
\SCAM0020,\SEC011,\SALT_PROJECTION_PROX,\I2,\S凸二次計画問題での事前確認: 非滑らか/制約構造を利用,\SS012;S016;S062;S004;S010;S013;S014;S055;S054;S056,\Shigh,\S2026-07-13
\SCAM0021,\SEC012,\SALT_RELAXATION,\I1,\S非凸二次計画問題での事前確認: 証明・bound,\SS021;S024;S028;S005;S016;S025;S006;S007;S008;S009;S072;S073;S074;S056;S054;S055,\Shigh,\S2026-07-13
\SCAM0022,\SEC013,\SALT_LEAST_SQUARES,\I1,\S非線形最小二乗問題での事前確認: Jacobian・残差構造を保持,\SS003;S041;S002;S056;S054;S055,\Shigh,\S2026-07-13
\SCAM0023,\SEC014,\SALT_LEAST_SQUARES,\I1,\S外れ値を含むparameter推定での事前確認: Jacobian・残差構造を保持,\SS003;S041;S002;S056;S055;S061;S066;S067;S054,\Shigh,\S2026-07-13
\SCAM0024,\SEC014,\SALT_STAT_INFERENCE,\I2,\S外れ値を含むparameter推定での事前確認: point optimumだけでなく不確実性,\SS003;S041;S002;S056;S055;S061;S066;S067;S054,\Shigh,\S2026-07-13
\SCAM0025,\SEC015,\SALT_PROJECTION_PROX,\I1,\S単体上の最適化での事前確認: 非滑らか/制約構造を利用,\SS055;S066;S061;S067;S017;S029;S030;S056;S064;S054,\Shigh,\S2026-07-13
\SCAM0026,\SEC016,\SALT_EIGEN,\I1,\SSO(3)上の最適化での事前確認: 行列構造を利用,\SS041;S044;S071;S045;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0027,\SEC016,\SALT_SPECIALIZED,\I2,\SSO(3)上の最適化での事前確認: 保証・数値性・速度,\SS041;S044;S071;S045;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0028,\SEC017,\SALT_STAT_INFERENCE,\I1,\S多目的最適化での事前確認: point optimumだけでなく不確実性,\SS039;S068;S055;S054;S056,\Shigh,\S2026-07-13
