case_id,title_ja,problem_id,problem_features_summary,alternative_solution_ids,first_choice_method_id,second_choice_method_id,avoid_method_id,decision_reason,additional_information_needed,representative_implementation_ids,expected_failures,switch_decision,validation_result,model_revision_notes,source_ids,confidence,last_verified
EC001,滑らかな低次元の制約なし連続最適化,PA006,連続5変数、滑らか、解析勾配あり、評価はms、局所解でよい。,ALT_CLOSED_FORM;ALT_ROOT,M_BFGS,M_TRUST_EXACT,M_DIFFERENTIAL_EVOLUTION,gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,凸性、Hessianの可否、初期値感度。,I_SCIPY_BFGS;I_OPTIMJL,悪いscale、gradient bug、局所解。,gradient check不一致なら修正、初期値で異なるならmultistart。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S002;S056;S057;S003,high,2026-07-13
EC002,高次元だが勾配が利用可能,PA007,連続100万変数、AD gradient/HVP、疎またはoperator形式、局所解。,ALT_DECOMPOSITION,M_LBFGS,M_NEWTON_CG,M_NELDER_MEAD,dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,memory、HVP cost、preconditioner、block構造。,I_PETSC_TAO;I_JAXOPT;I_SCIPY_LBFGSB,悪条件、通信費、line search失敗。,L-BFGS停滞ならNewton-Krylov/preconditioning。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S019;S046;S056;S002;S057;S065,high,2026-07-13
EC003,解析的勾配はないが数値微分が可能,PA006,連続20変数、滑らか、deterministic、1評価10ms、boundsなし。,ALT_CLOSED_FORM,M_BFGS,M_COBYQA,M_NEWTON,O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,step感度、変数scale、complex-step可否。,I_SCIPY_BFGS;I_SCIPY_COBYQA,finite-difference cancellation、隠れた分岐。,step sweepで不安定ならAD/complex-step/DFO。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S002;S056;S057;S018;S031;S060;S063,high,2026-07-13
EC004,数値微分の評価コストが大きすぎる,PA015,連続500変数、1評価30分、解析gradientなし、座標差分は不可能。,ALT_SURROGATE;ALT_DECOMPOSITION,M_SPSA,M_TURBO_SAASBO,M_BFGS,SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,noise、有効次元、parallel数、fidelity。,I_NLOPT;I_BOTORCH;I_AX,SPSA variance、surrogate misspecification。,有効次元なし/進展なしならparameterization再設計。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
EC005,noiseを含むblack-box関数,PA013,連続15変数、moderate noise、評価5秒、bounds、global candidate。,ALT_STAT_INFERENCE;ALT_SURROGATE,M_CMA_ES,M_BAYESIAN_OPT_GP,M_BFGS,CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,noise分散、replication、seed、heteroskedasticity。,I_PYCMA;I_BOTORCH,noise floor、seed依存、BO過信。,replicateでnoiseを測り、改善量以下なら停止/再設計。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075,high,2026-07-13
EC006,一評価が数時間かかる低次元問題,PA014,連続6変数、1評価3時間、最大50評価、small noise。,ALT_SURROGATE;ALT_STAT_INFERENCE,M_BAYESIAN_OPT_GP,M_DIRECT,M_DIFFERENTIAL_EVOLUTION,surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,安全制約、parallel worker、prior data、multi-fidelity。,I_BOTORCH;I_AX,model mismatch、acquisition duplicate、失敗評価。,surrogate CV不良ならrandomized space-filling + local refinement。,partial,高価評価ではprior/model仮定が強く、追加pilot後に推奨を更新する。,S035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
EC007,高次元black-box問題,PA015,連続1000変数、gradientなし、評価1分、global candidate。,ALT_DECOMPOSITION;ALT_SURROGATE,M_SPSA,M_TURBO_SAASBO,M_BAYESIAN_OPT_GP,通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,有効次元、block、sparsity、embedding、noise。,I_BOTORCH;I_NLOPT,高次元BO破綻、SPSA variance。,構造が見つからなければ問題parameterizationを見直す。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
EC008,0-1変数と線形制約,PA023,"binary 10,000個、線形目的・制約、gapが必要。",ALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,M_BRANCH_CUT,M_CP_SAT,M_SQP,MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,LP relaxation、logic、Big-M、time limit。,I_SCIPY_MILP_HIGHS;I_SCIP;I_ORTOOLS_CPSAT;I_GUROBI,weak relaxation、symmetry、no incumbent。,root gap大なら定式化強化/CP-SAT比較。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S005;S016;S021;S024;S025;S028;S022;S053;S079,high,2026-07-13
EC009,整数変数と非線形目的,PA025,整数+連続、滑らか非凸目的、非線形制約、global proof希望。,ALT_RELAXATION;ALT_DECOMPOSITION,M_SPATIAL_BRANCH_BOUND,M_OUTER_APPROX_MINLP,M_GENETIC_ALGORITHM,nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,factorability、convexity、bounds、derivative。,I_SCIP;I_KNITRO;I_GUROBI,緩和弱い、bounds不足、局所NLP失敗。,証明不要ならheuristic incumbent生成を併用。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S021;S029;S005;S016;S024;S025;S028,high,2026-07-13
EC010,線形計画問題,PA017,連続変数、線形目的・制約、大規模疎、dualが必要。,ALT_GRAPH;ALT_SPECIALIZED,M_DUAL_SIMPLEX,M_BARRIER_LP_QP,M_SQP,LP専用solverは大域性、dual、presolve、sparsityを提供。,再最適化、basis、精度、nnz。,I_SCIPY_LINPROG_HIGHS;I_HIGHS_NATIVE;I_ORTOOLS_GLOP,infeasible/unbounded混同、scale、degeneracy。,巨大で中精度ならPDLP、再最適化ならdual simplex。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S004;S016;S055;S010;S012;S013;S014;S062,high,2026-07-13
