schema_field_id,sheet_name,table_name,column_order,column_name,display_name_ja,data_type,required,primary_key,foreign_key,foreign_key_target,controlled_vocabulary,example_value,definition,notes
\SSF00001,\S00_README,\Sreadme,\I1,\Ssection,\Ssection,\Svarchar,\Syes,\Syes,\Sno,\S,\S,\Stitle,\Ssectionを表す列。,\S
\SSF00002,\S00_README,\Sreadme,\I2,\Sitem,\Sitem,\Svarchar,\Syes,\Syes,\Sno,\S,\S,\Sdataset_name,\Sitemを表す列。,\S
\SSF00003,\S00_README,\Sreadme,\I3,\Svalue,\S値,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\SOptimization Method Selection Database / 最適化手法選択データベース,\S値を表す列。,\S
\SSF00004,\S00_README,\Sreadme,\I4,\Snotes,\S注意事項,\Stext,\Sconditional,\Sno,\Sno,\S,\S,\S初期研究版,\S注意事項を表す列。,\S
\SSF00005,\S01_problem_archetypes,\Sproblem_archetypes,\I1,\Sproblem_id,\S問題ID,\Svarchar,\Syes,\Syes,\Sno,\S,\S,\SPA001,\S問題IDを表す列。,\S
\SSF00006,\S01_problem_archetypes,\Sproblem_archetypes,\I2,\Sname_ja,\S日本語名,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\S閉形式解候補,\S日本語名を表す列。,\S
\SSF00007,\S01_problem_archetypes,\Sproblem_archetypes,\I3,\Sname_en,\S英語名,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\SClosed-form candidate,\S英語名を表す列。,\S
\SSF00008,\S01_problem_archetypes,\Sproblem_archetypes,\I4,\Ssummary,\S概要,\Stext,\Sconditional,\Sno,\Sno,\S,\S,\S閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\S概要を表す列。,\S
\SSF00009,\S01_problem_archetypes,\Sproblem_archetypes,\I5,\Sdomain_group,\S領域 group,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sprecheck,\S領域 groupを表す列。,\S
\SSF00010,\S01_problem_archetypes,\Sproblem_archetypes,\I6,\Scanonical_form,\S標準 形式,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sminimize general_nonlinear; subject to unconstrained,\S標準 形式を表す列。,\S
\SSF00011,\S01_problem_archetypes,\Sproblem_archetypes,\I7,\Sprimary_variable_type,\S主要変数型,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Scontinuous,\S主要変数型を表す列。,\S
\SSF00012,\S01_problem_archetypes,\Sproblem_archetypes,\I8,\Sobjective_structure,\S目的構造,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sgeneral_nonlinear,\S目的構造を表す列。,\S
\SSF00013,\S01_problem_archetypes,\Sproblem_archetypes,\I9,\Sconstraint_structure,\S制約構造,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sunconstrained,\S制約構造を表す列。,\S
\SSF00014,\S01_problem_archetypes,\Sproblem_archetypes,\I10,\Sconvexity,\S凸性,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sunknown,\S凸性を表す列。,\S
\SSF00015,\S01_problem_archetypes,\Sproblem_archetypes,\I11,\Ssmoothness,\S滑らかさ,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Ssmooth,\S滑らかさを表す列。,\S
\SSF00016,\S01_problem_archetypes,\Sproblem_archetypes,\I12,\Sderivative_access,\S微分情報,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Sanalytic_gradient,\S微分情報を表す列。,\S
\SSF00017,\S01_problem_archetypes,\Sproblem_archetypes,\I13,\Stypical_dimension,\S典型次元,\Svarchar,\Sconditional,\Sno,\Sno,\S,\S,\Svery_low,\S典型次元を表す列。,\S
