failure_mode_id,name_ja,name_en,category,applies_to_method_ids,applies_to_problem_ids,symptoms,root_causes,diagnostic_ids,severity,impact,prevention,remediation,switch_condition,source_ids,confidence,last_verified
FM001,gradient実装誤り,Incorrect gradient,derivative,M_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,,gradient check不一致、line search失敗,chain rule、index、sign、batch aggregation誤り,D001,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,directional checkとunit test,derivative修正、AD比較,修正不能ならDFOへ,S002;S056,high,2026-07-13
FM002,数値微分step不適切,Bad finite-difference step,derivative,M_BFGS;M_LBFGSB;M_SLSQP,,勾配がstepで大きく変動,truncation/roundoff/scale不一致,D005,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,step sweep、scale,complex-step/AD/scale-aware差分,安定領域なしならDFO,S002;S056,high,2026-07-13
FM003,noiseが微分を支配,Noise-dominated derivative,noise,M_NEWTON;M_BFGS;M_SLSQP,,gradient符号がreplicateで変わる,評価noiseが差分/改善より大きい,D006,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,replication/CRN,sample average、SPSA、noise-aware method,必要評価数がbudget超ならBO/DFO,S059,high,2026-07-13
FM004,NaN/Inf評価,Non-finite evaluation,evaluation,all,,solver例外、step rejection、model破損,domain error、overflow、inner failure,D027,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,safe domain tests,guard、stable formula、failure status,頻発なら可行性model/MADS,S002;S031,high,2026-07-13
FM005,評価失敗を巨大penaltyだけで隠す,Masked evaluation failures,evaluation,M_BAYESIAN_OPT_GP;M_CMA_ES;M_MADS,,境界に不自然なcliff,失敗原因をobjective値へ潰した,D025,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,failure code保存,feasibility classifier/progressive barrier,可行率低ならphase-I,S031;S035,high,2026-07-13
FM006,timeout bias,Timeout bias,evaluation,M_TPE;M_SMAC_RF;M_BAYESIAN_OPT_GP,,遅いtrialが一律悪評価,censored observationの誤処理,D026,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,cutoff policy,censor-aware model/resource scheduler,timeout率高ならsearch space縮小,S037;S038,high,2026-07-13
FM007,変数scale不良,Poor variable scaling,numerical,M_BFGS;M_SLSQP;M_COBYLA;M_CMA_ES,,stepが一部変数だけ動く,unit/桁差,D007,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,nondimensionalization,変数変換/solver scaling,改善しなければpreconditioned/HVP法,S056,high,2026-07-13
FM008,目的項のweight不良,Poor objective weighting,numerical,all,,一項だけ改善し他が無視,単位・penalty・regularization不整合,D036,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,term magnitude/gradient監査,normalize、weight sensitivity,trade-offならmultiobjectiveへ,S055;S056,high,2026-07-13
FM009,悪条件,Ill conditioning,numerical,M_NEWTON;M_GAUSS_NEWTON;M_INTERIOR_POINT_NLP,,極端に遅い、方向不安定,Hessian/Jacobian/KKTの条件数大,D008,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,condition estimate,scaling、regularization、preconditioner,first-order/prox/reparameterize,S056,high,2026-07-13
FM010,rank落ち・非識別,Rank deficiency/non-identifiability,numerical,M_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,,multiple solutions、covariance巨大,Jacobian column dependence,D009,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,SVD/rank,regularize、fix parameters、new data,不確実性が目的ならBayes/stat inference,S003;S041,high,2026-07-13
FM011,初期可行点問題,Bad or infeasible start,constraint,M_SQP;M_ACTIVE_SET;M_INTERIOR_POINT_NLP,,constraint violationが減らない,初期値がdomain外、solver要件未充足,D002,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,phase-I,feasible generator、slacks,MADS/ALM/phase-Iへ,S017;S056,high,2026-07-13
FM012,constraint qualification破綻,Constraint qualification failure,constraint,M_SQP;M_INTERIOR_POINT_NLP,,multiplier不安定、KKT singular,active constraint勾配依存,D003,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,active Jacobian rank,remove redundancy、reformulate,nonsmooth/complementarity専用法,S056,high,2026-07-13
FM013,冗長制約,Redundant constraints,constraint,M_INTERIOR_POINT_NLP;M_BRANCH_CUT,,factorization singular、slow presolve,同等/従属制約,D009,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,rank/presolve report,constraint cleanup,solver presolve比較,S016;S056,high,2026-07-13
FM014,不整合制約,Inconsistent constraints,constraint,all constrained,,infeasible status、phase-I正,データ/logic矛盾,D037,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,IIS/phase-I,isolate constraints、relax with costs,optimization前にmodel修正,S016;S021;S024,high,2026-07-13
FM015,constraint violation見落とし,Ignored constraint violation,reporting,M_SLSQP;M_COBYLA;M_INTERIOR_POINT_NLP,,successだが元式で不可行,status/scale/tolerance誤読,D002,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,original-function recompute,tighten/scale、report residual,別solverでcross-check,S002;S017,high,2026-07-13
FM016,局所解を大域解と誤認,Local solution mistaken for global,guarantee,M_BFGS;M_SQP;M_INTERIOR_POINT_NLP,,初期値で異なる解,nonconvex局所法の保証誤読,D041,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,multistart/lower bound,明示的にlocal label,証明必要ならglobal/certificate solver,S055;S056,high,2026-07-13
FM017,global searchを証明と誤認,Global search mistaken for proof,guarantee,M_CMA_ES;M_DIFFERENTIAL_EVOLUTION;M_BAYESIAN_OPT_GP,,best-so-farだけをoptimalと報告,heuristicの名称/宣伝を誤読,D041,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,certificate alignment,bound/relaxation/solverへ,証明要求なら即切替,S059;S074,high,2026-07-13
FM018,saddle/flat plateau,Saddle point or flat plateau,local_solver,M_GRADIENT_DESCENT;M_ADAM;M_BFGS,,gradient小だが曲率/改善悪い,非凸幾何、saturation,D004,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,HVP/eigen/perturbation,trust-region、restart、normalization,長期停滞ならstochastic/multistart,S056,high,2026-07-13
FM019,line search failure,Line-search failure,local_solver,M_BFGS;M_LBFGS;M_NLCG,,step rejected、abnormal termination,bad gradient、scale、non-smooth/noise,D010,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,line-search log,gradient check、trust-region,微分不可信ならDFO,S002;S056,high,2026-07-13
FM020,trust radius collapse,Trust-region radius collapse,local_solver,M_TRUST_NCG;M_TRUST_KRYLOV;M_COBYQA,,radius→0、reject連続,local model不良、noise、constraint issue,D011,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,rho/radius log,derivative/scale/noise修正,direct searchへ,S056,high,2026-07-13
FM021,simplex退化,Simplex degeneration,dfo,M_NELDER_MEAD,,Nelder-Mead停滞、変数方向不足,scale/境界/geometry collapse,D012,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,simplex geometry,restart/rescale,Powell/MADS/gradient法へ,S063,high,2026-07-13
FM022,DFOの次元budget不整合,DFO dimension-budget mismatch,budget,M_NELDER_MEAD;M_MADS;M_COBYQA,,改善前にbudget枯渇,必要geometry/方向評価がnに対し不足,D024,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,eval ledger,dimension reduction/gradient estimation,L-BFGS/SPSA/structure法へ,S031;S060,high,2026-07-13
FM023,反復数だけでcost比較,Iteration-count fallacy,budget,all,,少反復methodが遅い,1反復の評価・factorization費を無視,D024,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,wall-clock/eval ledger,cost-equivalent budget,比較protocol修正,S056,high,2026-07-13
FM024,過度に厳しいtolerance,Overly strict tolerances,stopping,all numerical,,末尾精度に大量時間,noise/roundoff以下を要求,D006,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,residual vs noise/decision value,scale-aware tolerance,早期停止/適切精度へ,S056,high,2026-07-13
FM025,status code誤読,Misread solver status,reporting,all implementations,,limit到達をsuccess扱い、inaccurate無視,API差/ラッパー変換,D028,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,raw status保存,status taxonomy mapping,残差とcross-solverで検証,S002;S016;S017,high,2026-07-13
FM026,ADMM残差不均衡,ADMM residual imbalance,first_order,M_ADMM;M_ADMM_QP,,primalのみ/dualのみ停滞,rho不適切、scale不良,D013,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,primal/dual residual,adaptive rho/scaling,IPM/active-setへ,S012;S061,high,2026-07-13
FM027,simplex退化・cycling,LP degeneracy/cycling,linear_programming,M_SIMPLEX;M_DUAL_SIMPLEX,,pivot多数、目的不変,degenerate vertices,D028,warning,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,solver iteration/presolve,anti-degeneracy、IPM比較,barrier/PDLPへ,S016;S055,high,2026-07-13
FM028,Big-M過大/不正,Bad Big-M,discrete,M_BRANCH_CUT;M_CP_SAT,,root gap大、数値warning、誤可行,Mが緩すぎる/小さすぎる,D016,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,bound proof,indicator/convex hull/tight M,CP/extended formulationへ,S021;S024,high,2026-07-13
FM029,弱いrelaxation,Weak relaxation,discrete,M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,,node爆発、bound改善なし,定式化が弱い,D015,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,root gap,valid cuts、reformulation,CP/DP/専用法へ,S021;S024,high,2026-07-13
FM030,対称性による探索爆発,Symmetry explosion,discrete,M_BRANCH_CUT;M_CP_SAT,,同等解を反復探索,交換可能変数/資源,D017,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,symmetry audit,symmetry breaking,canonical model/CPへ,S021;S022,high,2026-07-13
FM031,整数tolerance/scale誤り,Integer tolerance or scaling error,discrete,M_CP_SAT;M_BRANCH_CUT,,丸め後不可行、overflow,実数→整数scale不適切,D002,critical,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,recompute exact constraints,rational scaling/bounds,MIP/CP model再設計,S022;S079,high,2026-07-13
FM032,弱いCP propagation,Weak CP propagation,constraint_programming,M_CP_SEARCH;M_CP_SAT,,branches/conflicts増大,global constraintを分解しすぎ,D018,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,propagation stats,global constraint/redundant reasoning,MILP/alternative searchへ,S022;S053,high,2026-07-13
FM033,surrogate misspecification,Surrogate model mismatch,surrogate,M_BAYESIAN_OPT_GP;M_SMAC_RF,,予測順位/uncertainty不良,kernel/model/transformが不適,D019,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,CV/diagnostics,transform、model change、trust region,random/CMA/MADSへfallback,S035;S059,high,2026-07-13
FM034,surrogate過信,Overconfident surrogate,surrogate,M_BAYESIAN_OPT_GP,,真値が区間外、exploration不足,noise過小評価/prior不良,D020,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,calibration,noise model/replication/exploration,robust/random explorationへ,S035;S059,high,2026-07-13
FM035,acquisition最適化失敗,Acquisition optimization failure,surrogate,M_BAYESIAN_OPT_GP;M_TURBO_SAASBO,,重複点、同一境界、NaN,inner optimizer/constraints不良,D021,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,duplicate/acq logs,multi-start、raw samples、fallback,TPE/randomへ,S035,high,2026-07-13
FM036,early stopping bias,Early-stopping bias,hpo,M_HYPERBAND_ASHA;M_PBT,,遅く伸びるconfigurationを排除,learning curves非比較,D033,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,full-budget audit,grace period/fidelity model,BO/full evaluationsへ,S038;S069,high,2026-07-13
FM037,population多様性喪失,Population diversity loss,evolutionary,M_CMA_ES;M_GENETIC_ALGORITHM;M_NSGA_II,,全個体近接、改善停止,selection圧/step縮小/constraint repair,D022,high,解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,diversity metric,restart/mutation/niching,MADS/BO/multistartへ,S032;S039,high,2026-07-13
