alternative_id,name_ja,name_en,trigger_conditions,preferred_approach,why_before_generic_optimization,false_positive_warning,related_problem_ids,representative_implementations,source_ids,confidence,last_verified
\SALT_CLOSED_FORM,\S閉形式解,\SClosed-form solution,\S一階条件・共役・対称性から解析解が得られる,\S記号計算・解析導出,\S反復誤差と初期値依存を避ける,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA001;PA006,\SI_JAXOPT;I_CASADI,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_DECOMPOSITION,\S分解,\SDecomposition,\Sblock/scenario/time構造,\S分解法,\Smemory/parallel性,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA007;PA015;PA025;PA040;PA041;PA042;PA045;PA046;PA049;PA051,\SI_PETSC_TAO;I_PYOMO,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_DYNAMIC_PROGRAMMING,\S動的計画法,\SDynamic programming,\S状態・段階・最適部分構造,\SDP,\S部分問題を再利用,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA023;PA026;PA029;PA031;PA032,\SI_ORTOOLS_ROUTING,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_EIGEN,\S固有値・SVD,\SEigen/SVD,\SRayleigh商・低rank近似,\S固有値/SVD専用法,\S行列構造を利用,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA003;PA037,\SI_DRAKE;I_PYMANOPT,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_ENUMERATION,\S列挙,\SEnumeration,\S探索空間が小さい,\S完全列挙,\S証明可能,\S専用構造が近似的な場合は還元誤差・制約を確認。,\S,\SI_MINIZINC,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_FEASIBILITY,\S制約充足,\SFeasibility,\S目的より可行性が中心,\Sphase-I/CP/SAT,\S可行解探索を独立,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA016;PA026;PA027,\SI_ORTOOLS_CPSAT;I_SCIP,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_GENERIC_OPT,\S汎用最適化,\SGeneric optimization,\S専用構造なし,\S適合する汎用法,\S最適化として妥当,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA006;PA007;PA008;PA009;PA011;PA014;PA019;PA038,\SI_SCIPY_BFGS;I_IPOPT,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_GRAPH,\Sグラフ専用法,\SGraph algorithm,\Sflow/path/matching等,\S専用graph法,\S多項式時間構造を利用,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA017;PA023;PA028;PA029;PA030;PA031,\SI_ORTOOLS_ROUTING;I_ORTOOLS_GLOP,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_LEAST_SQUARES,\S最小二乗専用法,\SLeast-squares solver,\S残差vectorの二乗和,\SQR/SVD/LM/TRF,\SJacobian・残差構造を保持,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA004;PA005;PA033;PA034;PA055;PA056,\SI_SCIPY_LEAST_SQUARES_TRF;I_CERES,\SS054;S055;S056,\Shigh,\S2026-07-13
\SALT_LINEAR_SYSTEM,\S線形方程式,\SLinear system,\S最適性条件がAx=bへ還元,\S直接法/Krylov法,\S残差二乗化による条件数悪化を避ける,\S専用構造が近似的な場合は還元誤差・制約を確認。,\SPA002;PA005,\SI_PETSC_TAO,\SS054;S055;S056,\Shigh,\S2026-07-13
