evidence_link_id,source_id,target_table,target_id,supported_field,claim_summary,evidence_role,confidence,last_verified
\SEL000001,\SS055,\Sproblem_archetypes,\SPA001,\Srow,\S閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000002,\SS056,\Sproblem_archetypes,\SPA001,\Srow,\S閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000003,\SS054,\Sproblem_archetypes,\SPA002,\Srow,\S線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000004,\SS056,\Sproblem_archetypes,\SPA002,\Srow,\S線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000005,\SS054,\Sproblem_archetypes,\SPA003,\Srow,\S固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000006,\SS071,\Sproblem_archetypes,\SPA003,\Srow,\S固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000007,\SS080,\Sproblem_archetypes,\SPA004,\Srow,\S方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000008,\SS056,\Sproblem_archetypes,\SPA004,\Srow,\S方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000009,\SS003,\Sproblem_archetypes,\SPA005,\Srow,\S線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000010,\SS056,\Sproblem_archetypes,\SPA005,\Srow,\S線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000011,\SS002,\Sproblem_archetypes,\SPA006,\Srow,\S滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000012,\SS056,\Sproblem_archetypes,\SPA006,\Srow,\S滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000013,\SS019,\Sproblem_archetypes,\SPA007,\Srow,\S高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000014,\SS046,\Sproblem_archetypes,\SPA007,\Srow,\S高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000015,\SS056,\Sproblem_archetypes,\SPA007,\Srow,\S高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000016,\SS002,\Sproblem_archetypes,\SPA008,\Srow,\S上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000017,\SS065,\Sproblem_archetypes,\SPA008,\Srow,\S上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000018,\SS017,\Sproblem_archetypes,\SPA009,\Srow,\S一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000019,\SS029,\Sproblem_archetypes,\SPA009,\Srow,\S一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000020,\SS030,\Sproblem_archetypes,\SPA009,\Srow,\S一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000021,\SS056,\Sproblem_archetypes,\SPA009,\Srow,\S一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000022,\SS055,\Sproblem_archetypes,\SPA010,\Srow,\S非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
\SEL000023,\SS066,\Sproblem_archetypes,\SPA010,\Srow,\S非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,\Ssupporting_or_primary,\Shigh,\S2026-07-13
