case_implementation_map_id,case_id,implementation_id,role,sequence,notes,source_ids,confidence,last_verified
CIM0001,EC001,I_SCIPY_BFGS,representative,1,Representative implementation; exact capability/version/options must be verified.,S001;S002,high,2026-07-13
CIM0002,EC001,I_OPTIMJL,representative,2,Representative implementation; exact capability/version/options must be verified.,S052,high,2026-07-13
CIM0003,EC002,I_PETSC_TAO,representative,1,Representative implementation; exact capability/version/options must be verified.,S019,high,2026-07-13
CIM0004,EC002,I_JAXOPT,representative,2,Representative implementation; exact capability/version/options must be verified.,S046,high,2026-07-13
CIM0005,EC002,I_SCIPY_LBFGSB,representative,3,Representative implementation; exact capability/version/options must be verified.,S001;S002;S065,high,2026-07-13
CIM0006,EC003,I_SCIPY_BFGS,representative,1,Representative implementation; exact capability/version/options must be verified.,S001;S002,high,2026-07-13
CIM0007,EC003,I_SCIPY_COBYQA,representative,2,Representative implementation; exact capability/version/options must be verified.,S001;S002,high,2026-07-13
CIM0008,EC004,I_NLOPT,representative,1,Representative implementation; exact capability/version/options must be verified.,S018,high,2026-07-13
CIM0009,EC004,I_BOTORCH,representative,2,Representative implementation; exact capability/version/options must be verified.,S035,high,2026-07-13
CIM0010,EC004,I_AX,representative,3,Representative implementation; exact capability/version/options must be verified.,S036,high,2026-07-13
CIM0011,EC005,I_PYCMA,representative,1,Representative implementation; exact capability/version/options must be verified.,S032,high,2026-07-13
CIM0012,EC005,I_BOTORCH,representative,2,Representative implementation; exact capability/version/options must be verified.,S035,high,2026-07-13
CIM0013,EC006,I_BOTORCH,representative,1,Representative implementation; exact capability/version/options must be verified.,S035,high,2026-07-13
CIM0014,EC006,I_AX,representative,2,Representative implementation; exact capability/version/options must be verified.,S036,high,2026-07-13
CIM0015,EC007,I_BOTORCH,representative,1,Representative implementation; exact capability/version/options must be verified.,S035,high,2026-07-13
CIM0016,EC007,I_NLOPT,representative,2,Representative implementation; exact capability/version/options must be verified.,S018,high,2026-07-13
CIM0017,EC008,I_SCIPY_MILP_HIGHS,representative,1,Representative implementation; exact capability/version/options must be verified.,S005;S016,high,2026-07-13
