view_id,case_id,scenario,first_method,first_method_id,second_method,second_method_id,why,check_before_use,common_failure,switch_condition,representative_implementations,additional_question,confidence,last_verified
\SBV001,\SEC001,\S滑らかな低次元の制約なし連続最適化,\SBFGS法,\SM_BFGS,\S厳密trust-region Newton法,\SM_TRUST_EXACT,\Sgradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,\S凸性、Hessianの可否、初期値感度。,\S悪いscale、gradient bug、局所解。,\Sgradient check不一致なら修正、初期値で異なるならmultistart。,\SI_SCIPY_BFGS;I_OPTIMJL,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV002,\SEC002,\S高次元だが勾配が利用可能,\SL-BFGS法,\SM_LBFGS,\SNewton-CG法,\SM_NEWTON_CG,\Sdense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,\Smemory、HVP cost、preconditioner、block構造。,\S悪条件、通信費、line search失敗。,\SL-BFGS停滞ならNewton-Krylov/preconditioning。,\SI_PETSC_TAO;I_JAXOPT;I_SCIPY_LBFGSB,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV003,\SEC003,\S解析的勾配はないが数値微分が可能,\SBFGS法,\SM_BFGS,\SCOBYQA,\SM_COBYQA,\SO(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,\Sstep感度、変数scale、complex-step可否。,\Sfinite-difference cancellation、隠れた分岐。,\Sstep sweepで不安定ならAD/complex-step/DFO。,\SI_SCIPY_BFGS;I_SCIPY_COBYQA,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV004,\SEC004,\S数値微分の評価コストが大きすぎる,\S同時摂動確率近似,\SM_SPSA,\S高次元局所Bayesian最適化,\SM_TURBO_SAASBO,\SSPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,\Snoise、有効次元、parallel数、fidelity。,\SSPSA variance、surrogate misspecification。,\S有効次元なし/進展なしならparameterization再設計。,\SI_NLOPT;I_BOTORCH;I_AX,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV005,\SEC005,\Snoiseを含むblack-box関数,\SCMA-ES,\SM_CMA_ES,\SGaussian process Bayesian optimization,\SM_BAYESIAN_OPT_GP,\SCMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,\Snoise分散、replication、seed、heteroskedasticity。,\Snoise floor、seed依存、BO過信。,\Sreplicateでnoiseを測り、改善量以下なら停止/再設計。,\SI_PYCMA;I_BOTORCH,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV006,\SEC006,\S一評価が数時間かかる低次元問題,\SGaussian process Bayesian optimization,\SM_BAYESIAN_OPT_GP,\SDIRECT,\SM_DIRECT,\Ssurrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,\S安全制約、parallel worker、prior data、multi-fidelity。,\Smodel mismatch、acquisition duplicate、失敗評価。,\Ssurrogate CV不良ならrandomized space-filling + local refinement。,\SI_BOTORCH;I_AX,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Smedium,\S2026-07-13
\SBV007,\SEC007,\S高次元black-box問題,\S同時摂動確率近似,\SM_SPSA,\S高次元局所Bayesian最適化,\SM_TURBO_SAASBO,\S通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,\S有効次元、block、sparsity、embedding、noise。,\S高次元BO破綻、SPSA variance。,\S構造が見つからなければ問題parameterizationを見直す。,\SI_BOTORCH;I_NLOPT,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV008,\SEC008,\S0-1変数と線形制約,\Sbranch-and-cut,\SM_BRANCH_CUT,\SCP-SAT,\SM_CP_SAT,\SMILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,\SLP relaxation、logic、Big-M、time limit。,\Sweak relaxation、symmetry、no incumbent。,\Sroot gap大なら定式化強化/CP-SAT比較。,\SI_SCIPY_MILP_HIGHS;I_SCIP;I_ORTOOLS_CPSAT;I_GUROBI,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV009,\SEC009,\S整数変数と非線形目的,\S空間branch-and-bound,\SM_SPATIAL_BRANCH_BOUND,\Souter approximation MINLP,\SM_OUTER_APPROX_MINLP,\Snonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,\Sfactorability、convexity、bounds、derivative。,\S緩和弱い、bounds不足、局所NLP失敗。,\S証明不要ならheuristic incumbent生成を併用。,\SI_SCIP;I_KNITRO;I_GUROBI,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV010,\SEC010,\S線形計画問題,\Sdual simplex法,\SM_DUAL_SIMPLEX,\Sprimal-dual barrier法,\SM_BARRIER_LP_QP,\SLP専用solverは大域性、dual、presolve、sparsityを提供。,\S再最適化、basis、精度、nnz。,\Sinfeasible/unbounded混同、scale、degeneracy。,\S巨大で中精度ならPDLP、再最適化ならdual simplex。,\SI_SCIPY_LINPROG_HIGHS;I_HIGHS_NATIVE;I_ORTOOLS_GLOP,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
