feature_id,feature_code,category,name_ja,name_en,value_type,unit,allowed_vocab_id,definition,why_it_matters,boundary_notes,source_ids,confidence,last_verified
\SF_BUDGET_DISTRIBUTED,\Sbudget.distributed,\Sbudget,\Sdistributed,\SDistributed,\Senum,\S,\Struth_status,\Sdistributed,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_EARLY_GOOD_SOLUTION,\Sbudget.early_good_solution,\Sbudget,\Searly good solution,\SEarly Good Solution,\Senum,\S,\Struth_status,\Searly good solution,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_GPU,\Sbudget.gpu,\Sbudget,\Sgpu,\SGpu,\Senum,\S,\Struth_status,\Sgpu,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_MAX_EVALUATIONS,\Sbudget_max_evaluations,\Sbudget,\S最大評価回数,\Smaximum evaluations,\Sdecimal,\Scount,\S,\S最大評価回数,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_BUDGET_MAX_ITERATIONS,\Sbudget_max_iterations,\Sbudget,\S最大反復回数,\Smaximum iterations,\Sdecimal,\Scount,\S,\S最大反復回数,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_BUDGET_MEMORY_GB,\Sbudget_memory_gb,\Sbudget,\S利用可能memory,\Smemory,\Sdecimal,\SGB,\S,\S利用可能memory,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_BUDGET_OFFLINE,\Sbudget.offline,\Sbudget,\Soffline,\SOffline,\Senum,\S,\Struth_status,\Soffline,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_ONLINE,\Sbudget.online,\Sbudget,\Sonline,\SOnline,\Senum,\S,\Struth_status,\Sonline,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_PARALLEL_EVALUATION,\Sbudget.parallel_evaluation,\Sbudget,\Sparallel evaluation,\SParallel Evaluation,\Senum,\S,\Struth_status,\Sparallel evaluation,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_PARALLEL_WORKERS,\Sbudget_parallel_workers,\Sbudget,\S並列worker数,\Sparallel workers,\Sdecimal,\Scount,\S,\S並列worker数,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_BUDGET_REALTIME,\Sbudget.realtime,\Sbudget,\Srealtime,\SRealtime,\Senum,\S,\Struth_status,\Srealtime,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_REPEATED,\Sbudget.repeated,\Sbudget,\Srepeated,\SRepeated,\Senum,\S,\Struth_status,\Srepeated,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_BUDGET_WARM_START,\Sbudget.warm_start,\Sbudget,\Swarm start,\SWarm Start,\Senum,\S,\Struth_status,\Swarm start,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_ALWAYS_FEASIBLE_REQUIRED,\Sconstraint.always_feasible_required,\Sconstraint,\Salways feasible required,\SAlways Feasible Required,\Senum,\S,\Struth_status,\Salways feasible required,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_BARRIER_SUITABLE,\Sconstraint.barrier_suitable,\Sconstraint,\Sbarrier suitable,\SBarrier Suitable,\Senum,\S,\Struth_status,\Sbarrier suitable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_BOUNDS,\Sconstraint.bounds,\Sconstraint,\Sbounds,\SBounds,\Senum,\S,\Struth_status,\Sbounds,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_CHANCE,\Sconstraint.chance,\Sconstraint,\Schance,\SChance,\Senum,\S,\Struth_status,\Schance,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_CLASS,\Sconstraint_class,\Sconstraint,\S制約クラス,\SConstraint class,\Senum,\S,\SF_CONSTRAINT_CLASS_values,\S制約クラス,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_COMBINATORIAL,\Sconstraint.combinatorial,\Sconstraint,\Scombinatorial,\SCombinatorial,\Senum,\S,\Struth_status,\Scombinatorial,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_COMPLEMENTARITY,\Sconstraint.complementarity,\Sconstraint,\Scomplementarity,\SComplementarity,\Senum,\S,\Struth_status,\Scomplementarity,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_CONVEX,\Sconstraint.convex,\Sconstraint,\Sconvex,\SConvex,\Senum,\S,\Struth_status,\Sconvex,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_DYNAMICS,\Sconstraint.dynamics,\Sconstraint,\Sdynamics,\SDynamics,\Senum,\S,\Struth_status,\Sdynamics,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_EASY_FEASIBLE_GENERATION,\Sconstraint.easy_feasible_generation,\Sconstraint,\Seasy feasible generation,\SEasy Feasible Generation,\Senum,\S,\Struth_status,\Seasy feasible generation,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_ELIMINABLE,\Sconstraint.eliminable,\Sconstraint,\Seliminable,\SEliminable,\Senum,\S,\Struth_status,\Seliminable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_EXPENSIVE,\Sconstraint.expensive,\Sconstraint,\Sexpensive,\SExpensive,\Senum,\S,\Struth_status,\Sexpensive,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_FEASIBILITY_HARD,\Sconstraint.feasibility_hard,\Sconstraint,\Sfeasibility hard,\SFeasibility Hard,\Senum,\S,\Struth_status,\Sfeasibility hard,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_FEASIBLE_START_REQUIRED,\Sconstraint.feasible_start_required,\Sconstraint,\Sfeasible start required,\SFeasible Start Required,\Senum,\S,\Struth_status,\Sfeasible start required,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_IMPLICIT,\Sconstraint.implicit,\Sconstraint,\Simplicit,\SImplicit,\Senum,\S,\Struth_status,\Simplicit,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_LAGRANGIAN_RELAXATION,\Sconstraint.lagrangian_relaxation,\Sconstraint,\Slagrangian relaxation,\SLagrangian Relaxation,\Senum,\S,\Struth_status,\Slagrangian relaxation,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_LINEAR_EQUALITY,\Sconstraint.linear_equality,\Sconstraint,\Slinear equality,\SLinear Equality,\Senum,\S,\Struth_status,\Slinear equality,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_LINEAR_INEQUALITY,\Sconstraint.linear_inequality,\Sconstraint,\Slinear inequality,\SLinear Inequality,\Senum,\S,\Struth_status,\Slinear inequality,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_LOGICAL,\Sconstraint.logical,\Sconstraint,\Slogical,\SLogical,\Senum,\S,\Struth_status,\Slogical,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_MANIFOLD,\Sconstraint.manifold,\Sconstraint,\Smanifold,\SManifold,\Senum,\S,\Struth_status,\Smanifold,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NOISY,\Sconstraint.noisy,\Sconstraint,\Snoisy,\SNoisy,\Senum,\S,\Struth_status,\Snoisy,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NONCONVEX,\Sconstraint.nonconvex,\Sconstraint,\Snonconvex,\SNonconvex,\Senum,\S,\Struth_status,\Snonconvex,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NONE,\Sconstraint.none,\Sconstraint,\Snone,\SNone,\Senum,\S,\Struth_status,\Snone,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NONLINEAR_EQUALITY,\Sconstraint.nonlinear_equality,\Sconstraint,\Snonlinear equality,\SNonlinear Equality,\Senum,\S,\Struth_status,\Snonlinear equality,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NONLINEAR_INEQUALITY,\Sconstraint.nonlinear_inequality,\Sconstraint,\Snonlinear inequality,\SNonlinear Inequality,\Senum,\S,\Struth_status,\Snonlinear inequality,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_NORM,\Sconstraint.norm,\Sconstraint,\Snorm,\SNorm,\Senum,\S,\Struth_status,\Snorm,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_PATH,\Sconstraint.path,\Sconstraint,\Spath,\SPath,\Senum,\S,\Struth_status,\Spath,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_PDE,\Sconstraint.pde,\Sconstraint,\Spde,\SPde,\Senum,\S,\Struth_status,\Spde,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_PENALTY_SUITABLE,\Sconstraint.penalty_suitable,\Sconstraint,\Spenalty suitable,\SPenalty Suitable,\Senum,\S,\Struth_status,\Spenalty suitable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_PROJECTION_EASY,\Sconstraint.projection_easy,\Sconstraint,\Sprojection easy,\SProjection Easy,\Senum,\S,\Struth_status,\Sprojection easy,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_PROJECTION_EXPENSIVE,\Sconstraint.projection_expensive,\Sconstraint,\Sprojection expensive,\SProjection Expensive,\Senum,\S,\Struth_status,\Sprojection expensive,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_ROBUST,\Sconstraint.robust,\Sconstraint,\Srobust,\SRobust,\Senum,\S,\Struth_status,\Srobust,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_SEMIDEFINITE,\Sconstraint.semidefinite,\Sconstraint,\Ssemidefinite,\SSemidefinite,\Senum,\S,\Struth_status,\Ssemidefinite,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_SIMPLEX,\Sconstraint.simplex,\Sconstraint,\Ssimplex,\SSimplex,\Senum,\S,\Struth_status,\Ssimplex,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_SOC,\Sconstraint.soc,\Sconstraint,\Ssoc,\SSoc,\Senum,\S,\Struth_status,\Ssoc,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONSTRAINT_TEMPORARY_VIOLATION_ALLOWED,\Sconstraint.temporary_violation_allowed,\Sconstraint,\Stemporary violation allowed,\STemporary Violation Allowed,\Senum,\S,\Struth_status,\Stemporary violation allowed,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_CONVEXITY,\Sconvexity,\Sobjective,\S凸性,\SConvexity,\Senum,\S,\SF_CONVEXITY_values,\S凸性,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_ACCESS,\Sderivative_access,\Sderivative,\S微分情報,\SDerivative access,\Senum,\S,\SF_DERIVATIVE_ACCESS_values,\S微分情報,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_ANALYTIC_GRADIENT,\Sderivative.analytic_gradient,\Sderivative,\Sanalytic gradient,\SAnalytic Gradient,\Senum,\S,\Struth_status,\Sanalytic gradient,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_AUTODIFF,\Sderivative.autodiff,\Sderivative,\Sautodiff,\SAutodiff,\Senum,\S,\Struth_status,\Sautodiff,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_BRANCHING_INVALID,\Sderivative.branching_invalid,\Sderivative,\Sbranching invalid,\SBranching Invalid,\Senum,\S,\Struth_status,\Sbranching invalid,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
