problem_alternative_map_id,problem_id,alternative_id,priority,sequence,rationale,source_ids,confidence,last_verified
\SPAM0001,\SPA001,\SALT_CLOSED_FORM,\Sprecheck,\I1,\S閉形式解候補に汎用最適化を適用する前に 閉形式解 を検討。,\SS055;S056;S054,\Shigh,\S2026-07-13
\SPAM0002,\SPA001,\SALT_SYMBOLIC,\Sprecheck,\I2,\S閉形式解候補に汎用最適化を適用する前に 記号計算 を検討。,\SS055;S056;S054,\Shigh,\S2026-07-13
\SPAM0003,\SPA002,\SALT_LINEAR_SYSTEM,\Sprecheck,\I1,\S線形方程式に還元に汎用最適化を適用する前に 線形方程式 を検討。,\SS054;S056;S055,\Shigh,\S2026-07-13
\SPAM0004,\SPA003,\SALT_EIGEN,\Sprecheck,\I1,\S固有値・特異値問題に汎用最適化を適用する前に 固有値・SVD を検討。,\SS054;S071;S055;S056,\Shigh,\S2026-07-13
\SPAM0005,\SPA004,\SALT_ROOT,\Sprecheck,\I1,\S方程式の求根に汎用最適化を適用する前に 求根 を検討。,\SS080;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0006,\SPA004,\SALT_LEAST_SQUARES,\Sprecheck,\I2,\S方程式の求根に汎用最適化を適用する前に 最小二乗専用法 を検討。,\SS080;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0007,\SPA005,\SALT_LEAST_SQUARES,\Sprecheck,\I1,\S線形最小二乗に汎用最適化を適用する前に 最小二乗専用法 を検討。,\SS003;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0008,\SPA005,\SALT_LINEAR_SYSTEM,\Sprecheck,\I2,\S線形最小二乗に汎用最適化を適用する前に 線形方程式 を検討。,\SS003;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0009,\SPA006,\SALT_CLOSED_FORM,\Sprecheck,\I1,\S滑らかな低次元無制約に汎用最適化を適用する前に 閉形式解 を検討。,\SS002;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0010,\SPA006,\SALT_GENERIC_OPT,\Sprecheck,\I2,\S滑らかな低次元無制約に汎用最適化を適用する前に 汎用最適化 を検討。,\SS002;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0011,\SPA007,\SALT_DECOMPOSITION,\Sprecheck,\I1,\S高次元・勾配利用可能に汎用最適化を適用する前に 分解 を検討。,\SS019;S046;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0012,\SPA007,\SALT_GENERIC_OPT,\Sprecheck,\I2,\S高次元・勾配利用可能に汎用最適化を適用する前に 汎用最適化 を検討。,\SS019;S046;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0013,\SPA008,\SALT_PROJECTION_PROX,\Sprecheck,\I1,\S上下限制約付き滑らかに汎用最適化を適用する前に 射影・近接作用素 を検討。,\SS002;S065;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0014,\SPA008,\SALT_GENERIC_OPT,\Sprecheck,\I2,\S上下限制約付き滑らかに汎用最適化を適用する前に 汎用最適化 を検討。,\SS002;S065;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0015,\SPA009,\SALT_SPECIALIZED,\Sprecheck,\I1,\S一般滑らか制約付きNLPに汎用最適化を適用する前に 専用solver を検討。,\SS017;S029;S030;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0016,\SPA009,\SALT_GENERIC_OPT,\Sprecheck,\I2,\S一般滑らか制約付きNLPに汎用最適化を適用する前に 汎用最適化 を検討。,\SS017;S029;S030;S056;S054;S055,\Shigh,\S2026-07-13
\SPAM0017,\SPA010,\SALT_PROJECTION_PROX,\Sprecheck,\I1,\S非滑らか凸複合に汎用最適化を適用する前に 射影・近接作用素 を検討。,\SS055;S066;S067;S054;S056,\Shigh,\S2026-07-13
\SPAM0018,\SPA011,\SALT_GENERIC_OPT,\Sprecheck,\I1,\S一般非滑らか局所に汎用最適化を適用する前に 汎用最適化 を検討。,\SS018;S031;S060;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0019,\SPA012,\SALT_SURROGATE,\Sprecheck,\I1,\S不連続決定論black-boxに汎用最適化を適用する前に surrogate を検討。,\SS031;S033;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0020,\SPA012,\SALT_SIMULATION_SEARCH,\Sprecheck,\I2,\S不連続決定論black-boxに汎用最適化を適用する前に simulation/探索 を検討。,\SS031;S033;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0021,\SPA013,\SALT_SURROGATE,\Sprecheck,\I1,\Snoiseを含むblack-boxに汎用最適化を適用する前に surrogate を検討。,\SS032;S035;S059;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0022,\SPA013,\SALT_STAT_INFERENCE,\Sprecheck,\I2,\Snoiseを含むblack-boxに汎用最適化を適用する前に 統計推定・Bayes推論 を検討。,\SS032;S035;S059;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0023,\SPA014,\SALT_SURROGATE,\Sprecheck,\I1,\S非常に高価な低次元評価に汎用最適化を適用する前に surrogate を検討。,\SS035;S059;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0024,\SPA014,\SALT_GENERIC_OPT,\Sprecheck,\I2,\S非常に高価な低次元評価に汎用最適化を適用する前に 汎用最適化 を検討。,\SS035;S059;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0025,\SPA015,\SALT_DECOMPOSITION,\Sprecheck,\I1,\S高次元black-boxに汎用最適化を適用する前に 分解 を検討。,\SS033;S035;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0026,\SPA015,\SALT_SURROGATE,\Sprecheck,\I2,\S高次元black-boxに汎用最適化を適用する前に surrogate を検討。,\SS033;S035;S054;S055;S056,\Shigh,\S2026-07-13
\SPAM0027,\SPA016,\SALT_FEASIBILITY,\Sprecheck,\I1,\S失敗・NaNを伴うsimulationに汎用最適化を適用する前に 制約充足 を検討。,\SS031;S035;S054;S055;S056,\Shigh,\S2026-07-13
