backlog_id,area,priority,issue,proposed_action,acceptance_criteria,dependencies,status,target_version,owner,source_ids,notes,created_date
B001,software_metadata,critical,NOMAD・Manopt等のexact license fileを一次資料で再確認,official repository license fileをversion pinして記録,license fieldにSPDX idとcommit/dateが入る,,done,0.2.0,unassigned,S092;S094,Exact licenses verified for Manopt MATLAB and NOMAD from official repositories.,2026-07-13
B002,software_metadata,critical,全63実装のcurrent release version/date自動検証,official release/APIから定期取得するpipeline,version drift reportが生成される,,in_progress,0.3+,unassigned,,v0.2.0 refreshed high-usage/open-source implementations; remaining unknown release fields stay explicit.,2026-07-13
B003,software_metadata,high,solver option default値のversion別snapshot,重要optionのみofficial docsから構造化,versioned option tableが追加される,,open,0.2+,unassigned,,,2026-07-13
B004,software_metadata,high,OS/architecture/GPU対応のCI確認,official wheel/binary/build matrixを取得,supported platform matrixがversion付き,,open,0.2+,unassigned,,,2026-07-13
B005,methods,high,BARON・ANTIGONE等global NLP commercial solver追加,official manualでproblem class/証明範囲調査,global solver rowsとfit追加,,open,0.2+,unassigned,,,2026-07-13
B006,methods,high,Bonmin/Couenne等open-source MINLP実装の現状確認,maintenance/license/releaseを公式repoで確認,currentness付きimplementation rows,,open,0.2+,unassigned,,,2026-07-13
B007,methods,medium,ECOS等cone solverの現行性・deprecated context追加,official sourcesでstatus確認,conic implementation coverage改善,,open,future,unassigned,,,2026-07-13
B008,problem_classes,high,stochastic programming専用method/solver拡充,Benders、progressive hedging、SDDPを追加,scenario/decomposition fit 30件以上,,open,0.2+,unassigned,,,2026-07-13
B009,problem_classes,high,robust/DRO formulation taxonomy拡充,uncertainty set、Wasserstein等を分離,feature/valueとsolver mapping追加,,open,0.2+,unassigned,,,2026-07-13
B010,problem_classes,high,bilevel optimization taxonomy拡充,KKT reformulation、implicit differentiation、global bilevelを分離,PA046が複数archetypeへ正規化,,open,0.2+,unassigned,,,2026-07-13
B011,problem_classes,medium,VI/equilibrium/complementarity実装追加,PATH等official docs調査,specialized solver mappings追加,,open,future,unassigned,,,2026-07-13
B012,problem_classes,medium,PDE-constrained frameworks追加,dolfin-adjoint、TAO等official docs調査,adjoint/mesh diagnostic拡充,,open,future,unassigned,,,2026-07-13
B013,problem_classes,medium,optimal experimental design専用cone/greedy法追加,D/A/E-optimalityを分離,PA054 fitとcases追加,,open,future,unassigned,,,2026-07-13
B014,problem_classes,medium,safe Bayesian optimization追加,safety constraint/acquisitionを別family化,failure-aware/safe rules追加,,open,future,unassigned,,,2026-07-13
B015,problem_classes,medium,multi-fidelity BO/Hyperband taxonomy分離,fidelity modelとschedulerを別entity化,resource allocation relations追加,,open,future,unassigned,,,2026-07-13
B016,problem_classes,medium,mixed/categorical DFO method追加,MADS categorical・evolutionary encodingを整理,variable support fit改善,,open,future,unassigned,,,2026-07-13
B017,problem_classes,medium,approximation algorithm保証taxonomy追加,TSP/set cover等のapprox ratioを構造化,approximation_guarantee fields追加,,open,future,unassigned,,,2026-07-13
