case_feature_map_id,case_id,feature_id,feature_value_id,value_text,truth_status,notes,source_ids,confidence,last_verified
CFM00001,EC001,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00002,EC001,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00003,EC001,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00004,EC001,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00005,EC001,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00006,EC001,F_CONSTRAINT_CLASS,FV0041,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00007,EC001,F_DIMENSION_CONTEXT,FV0054,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00008,EC001,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00009,EC001,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00010,EC001,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00011,EC002,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00012,EC002,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00013,EC002,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00014,EC002,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00015,EC002,F_DERIVATIVE_ACCESS,FV0031,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00016,EC002,F_CONSTRAINT_CLASS,FV0041,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00017,EC002,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00018,EC002,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00019,EC002,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00020,EC002,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S019;S046;S056,medium,2026-07-13
CFM00021,EC003,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00022,EC003,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00023,EC003,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00024,EC003,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00025,EC003,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00026,EC003,F_CONSTRAINT_CLASS,FV0041,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00027,EC003,F_DIMENSION_CONTEXT,FV0054,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00028,EC003,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00029,EC003,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00030,EC003,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S002;S056,medium,2026-07-13
CFM00031,EC004,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00032,EC004,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00033,EC004,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00034,EC004,F_SMOOTHNESS,FV0029,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00035,EC004,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00036,EC004,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00037,EC004,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00038,EC004,F_EVALUATION_COST,FV0061,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00039,EC004,F_NOISE_LEVEL,FV0067,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00040,EC004,F_SOLUTION_GOAL,FV0070,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00041,EC005,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00042,EC005,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00043,EC005,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
