failure_mode_id,sequence,diagnostic_id,check_text
\SFM003,\I1,\SD006,\Sreplication/CRN
\SFM007,\I1,\SD007,\Snondimensionalization
\SFM009,\I1,\SD008,\Scondition estimate
\SFM011,\I1,\SD002,\Sphase-I
\SFM014,\I1,\SD037,\SIIS/phase-I
\SFM015,\I1,\SD002,\Soriginal-function recompute
\SFM016,\I1,\SD041,\Smultistart/lower bound
\SFM022,\I1,\SD024,\Seval ledger
\SFM024,\I1,\SD006,\Sresidual vs noise/decision value
\SFM025,\I1,\SD028,\Sraw status保存
\SFM033,\I1,\SD019,\SCV/diagnostics
\SFM037,\I1,\SD022,\Sdiversity metric
