sheet_name,table_name,purpose,primary_key,foreign_keys,row_count,column_count,normalization_role,derived_or_base,update_frequency,notes
00_README,readme,利用範囲、設計原則、source policy、使い方、KPI dashboard。,section+item,,24,4,documentation,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
01_problem_archetypes,problem_archetypes,代表的な問題class/アーキタイプ。,problem_id,,56,27,entity,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
02_problem_features,problem_features,問題を記述する正規化feature定義。,feature_id,,211,14,entity,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
03_feature_values,feature_values,enum featureの許容値。,feature_value_id,feature_id->02_problem_features.feature_id,93,12,lookup,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
04_methods,methods,手法family・一般algorithm・具体変種。,method_id,method_family_id->04_methods.method_id;parent_method_id->04_methods.method_id,98,51,entity,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
05_method_hierarchy,method_hierarchy,手法間の階層・派生関係。,hierarchy_id,parent_method_id->04_methods.method_id;child_method_id->04_methods.method_id,82,10,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
06_implementations,implementations,library/solver/API実装情報。,implementation_id,,64,45,entity,base,quarterly_or_on_release,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
07_problem_feature_map,problem_feature_map,problemとfeature/valueのmany-to-many。,problem_feature_map_id,problem_id->01_problem_archetypes.problem_id;feature_id->02_problem_features.feature_id;feature_value_id->03_feature_values.feature_value_id,842,12,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
08_problem_method_fit,problem_method_fit,問題と手法の条件付き適合関係。,fit_id,problem_or_feature_id->01_problem_archetypes.problem_id;method_id->04_methods.method_id,280,24,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
09_method_implementation_map,method_implementation_map,手法とsoftware実装の対応。,method_implementation_map_id,method_id->04_methods.method_id;implementation_id->06_implementations.implementation_id,163,11,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
10_decision_questions,decision_questions,初心者向け12問の診断質問。,question_id,mapped_feature_id->02_problem_features.feature_id,12,16,decision,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
11_decision_rules,decision_rules,質問回答から候補/除外/警告を導く条件付きrule。,rule_id,question_id->10_decision_questions.question_id,78,15,decision,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
12_failure_modes,failure_modes,典型的な失敗patternと修復・切替。,failure_mode_id,,42,17,diagnostic,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
13_diagnostics,diagnostics,収束・可行性・保証・数値性の診断指標。,diagnostic_id,,42,16,diagnostic,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
