feature_value_id,feature_id,value_code,label_ja,label_en,sort_order,definition,lower_bound,upper_bound,unit,conditions,notes
\SFV0001,\SF_VARIABLE_DOMAIN,\Scontinuous,\S連続,\SContinuous,\I1,\S連続,\S,\S,\S,\S,\S
\SFV0002,\SF_VARIABLE_DOMAIN,\Sinteger,\S整数,\SInteger,\I2,\S整数,\S,\S,\S,\S,\S
\SFV0003,\SF_VARIABLE_DOMAIN,\Sbinary,\S0-1,\SBinary,\I3,\S0-1,\S,\S,\S,\S,\S
\SFV0004,\SF_VARIABLE_DOMAIN,\Scategorical,\Sカテゴリ,\SCategorical,\I4,\Sカテゴリ,\S,\S,\S,\S,\S
\SFV0005,\SF_VARIABLE_DOMAIN,\Smixed,\S混合,\SMixed,\I5,\S混合,\S,\S,\S,\S,\S
\SFV0006,\SF_VARIABLE_DOMAIN,\Smatrix,\S行列,\SMatrix,\I6,\S行列,\S,\S,\S,\S,\S
\SFV0007,\SF_VARIABLE_DOMAIN,\Spsd_matrix,\S半正定値行列,\SPSD matrix,\I7,\S半正定値行列,\S,\S,\S,\S,\S
\SFV0008,\SF_VARIABLE_DOMAIN,\Smanifold,\S多様体,\SManifold,\I8,\S多様体,\S,\S,\S,\S,\S
\SFV0009,\SF_VARIABLE_DOMAIN,\Strajectory,\S軌道,\STrajectory,\I9,\S軌道,\S,\S,\S,\S,\S
\SFV0010,\SF_VARIABLE_DOMAIN,\Sgraph,\Sグラフ,\SGraph,\I10,\Sグラフ,\S,\S,\S,\S,\S
\SFV0011,\SF_OBJECTIVE_FORM,\Slinear,\S線形,\SLinear,\I1,\S線形,\S,\S,\S,\S,\S
\SFV0012,\SF_OBJECTIVE_FORM,\Squadratic,\S二次,\SQuadratic,\I2,\S二次,\S,\S,\S,\S,\S
\SFV0013,\SF_OBJECTIVE_FORM,\Ssum_of_squares,\S二乗和,\SSum of squares,\I3,\S二乗和,\S,\S,\S,\S,\S
\SFV0014,\SF_OBJECTIVE_FORM,\Scomposite,\S複合,\SComposite,\I4,\S複合,\S,\S,\S,\S,\S
\SFV0015,\SF_OBJECTIVE_FORM,\Sgeneral_nonlinear,\S一般非線形,\SGeneral nonlinear,\I5,\S一般非線形,\S,\S,\S,\S,\S
\SFV0016,\SF_OBJECTIVE_FORM,\Ssimulation,\Sシミュレーション,\SSimulation,\I6,\Sシミュレーション,\S,\S,\S,\S,\S
\SFV0017,\SF_OBJECTIVE_FORM,\Sequation_residual,\S方程式残差,\SEquation residual,\I7,\S方程式残差,\S,\S,\S,\S,\S
\SFV0018,\SF_OBJECTIVE_FORM,\Smultiobjective,\S複数目的,\SMultiobjective,\I8,\S複数目的,\S,\S,\S,\S,\S
\SFV0019,\SF_CONVEXITY,\Sconvex,\S凸,\SConvex,\I1,\S凸,\S,\S,\S,\S,\S
\SFV0020,\SF_CONVEXITY,\Sstrongly_convex,\S強凸,\SStrongly convex,\I2,\S強凸,\S,\S,\S,\S,\S
