edge_id,source_type,source_id,target_type,target_id,relation,rationale,difficulty,audience,display_order,source_ids_json,last_verified,status
\SLEARN_ADAM_COMPARE,\Smethod,\SM_ADAM,\Scomparison,\SCOMPARE_GRADIENT_FAMILY,\Ssee_comparison,\S適応stepを固定stepとMomentumに比べる。,\Sintermediate,\Slearner,\I32,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_ADAM_VIS,\Smethod,\SM_ADAM,\Sscenario,\SSCENARIO_ADAM_QUADRATIC,\Ssee_visualization,\S適応step更新をTraceで確認する。,\Sintermediate,\Slearner,\I28,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_BFGS_LBFGS,\Smethod,\SM_BFGS,\Smethod,\SM_LBFGS,\Snext_step,\S密な近似を理解してlimited-memory版へ進む。,\Sintermediate,\Spractitioner,\I9,"\S[""S056"",""S065""]",\S2026-07-15,\Scurrent
\SLEARN_BNB_CP,\Smethod,\SM_BRANCH_BOUND,\Smethod,\SM_CP_SAT,\Snext_step,\Sboundによる探索削減から制約伝播へ進む。,\Sintermediate,\Slearner,\I11,"\S[""S022"",""S079""]",\S2026-07-15,\Scurrent
\SLEARN_BO_IMPL,\Smethod,\SM_BAYESIAN_OPT_GP,\Simplementation,\SI_BOTORCH,\Simplemented_by,\SGP-based BOを構成するBoTorchへ接続する。,\Sintermediate,\Spractitioner,\I38,"\S[""S035""]",\S2026-07-15,\Scurrent
\SLEARN_BO_RANDOM,\Smethod,\SM_BAYESIAN_OPT_GP,\Smethod,\SM_RANDOM_SEARCH,\Scontrast_with,\Smodel-basedな次点選択と無情報samplingを対比する。,\Sbeginner,\Slearner,\I15,"\S[""S059"",""S075""]",\S2026-07-15,\Scurrent
\SLEARN_CMA_IMPL,\Smethod,\SM_CMA_ES,\Simplementation,\SI_PYCMA,\Simplemented_by,\SCMA-ESのPython実装へ接続する。,\Sbeginner,\Spractitioner,\I39,"\S[""S032"",""S058""]",\S2026-07-15,\Scurrent
\SLEARN_CMA_NM,\Smethod,\SM_CMA_ES,\Smethod,\SM_NELDER_MEAD,\Scontrast_with,\S集団分布の適応と局所simplex操作を対比する。,\Sintermediate,\Slearner,\I13,"\S[""S058"",""S063""]",\S2026-07-15,\Scurrent
\SLEARN_CONVEX_BFGS,\Sfeature,\SF_CONVEXITY,\Smethod,\SM_BFGS,\Sprerequisite_for,\S凸性と曲率を押さえて準Newton更新を読む。,\Sintermediate,\Slearner,\I2,"\S[""S055"",""S056""]",\S2026-07-15,\Scurrent
\SLEARN_CONVEX_GD,\Sfeature,\SF_CONVEXITY,\Smethod,\SM_GRADIENT_DESCENT,\Sprerequisite_for,\S凸性は勾配法の保証を理解する前提になる。,\Sbeginner,\Slearner,\I1,"\S[""S055"",""S056""]",\S2026-07-15,\Scurrent
\SLEARN_CONVEX_LPQP,\Sfeature,\SF_CONVEXITY,\Smethod,\SMF_LP_QP_CONIC,\Sprerequisite_for,\SLP・凸QP・錐最適化の保証は凸性を土台にする。,\Sbeginner,\Slearner,\I3,"\S[""S055""]",\S2026-07-15,\Scurrent
\SLEARN_COST_BO,\Sfeature,\SF_EVALUATION_COST,\Smethod,\SM_BAYESIAN_OPT_GP,\Sprerequisite_for,\S高価な評価を少数試行で選ぶときBOが候補になる。,\Sbeginner,\Spractitioner,\I6,"\S[""S059"",""S075""]",\S2026-07-15,\Scurrent
\SLEARN_CP_CASE,\Smethod,\SM_CP_SAT,\Scase,\SEC019,\Ssee_case,\Srouting Gallery caseで論理制約を確認する。,\Sintermediate,\Spractitioner,\I35,"\S[""S022"",""S023""]",\S2026-07-15,\Scurrent
\SLEARN_CP_IMPL,\Smethod,\SM_CP_SAT,\Simplementation,\SI_ORTOOLS_CPSAT,\Simplemented_by,\SOR-Tools CP-SATへ接続する。,\Sbeginner,\Spractitioner,\I37,"\S[""S022"",""S088""]",\S2026-07-15,\Scurrent
\SLEARN_CP_MIP,\Smethod,\SM_CP_SAT,\Smethod,\SMF_DISCRETE_EXACT,\Scontrast_with,\S制約伝播と緩和・bound中心の見方を区別する。,\Sintermediate,\Spractitioner,\I14,"\S[""S022"",""S079""]",\S2026-07-15,\Scurrent
\SLEARN_CP_MISCONCEPTION,\Smethod,\SM_CP_SAT,\Smethod,\SMF_DISCRETE_EXACT,\Scommon_misconception_for,\SCP-SATを全MIP solverの一般名として扱わない。,\Sbeginner,\Spractitioner,\I25,"\S[""S022"",""S079""]",\S2026-07-15,\Scurrent
\SLEARN_CP_ROUTING,\Smethod,\SM_CP_SAT,\Sproblem,\SPA031,\Sapplied_in,\S論理制約を含むroutingへ適用できる。,\Sintermediate,\Spractitioner,\I23,"\S[""S022"",""S023""]",\S2026-07-15,\Scurrent
\SLEARN_DERIVATIVE_GD,\Sfeature,\SF_DERIVATIVE_ACCESS,\Smethod,\SM_GRADIENT_DESCENT,\Sprerequisite_for,\S導関数の可用性が勾配法の適用可否を決める。,\Sbeginner,\Spractitioner,\I4,"\S[""S056""]",\S2026-07-15,\Scurrent
\SLEARN_DERIVATIVE_SLSQP,\Sfeature,\SF_DERIVATIVE_ACCESS,\Smethod,\SM_SLSQP,\Sprerequisite_for,\S目的・制約Jacobianの品質がSLSQPでは重要になる。,\Sintermediate,\Spractitioner,\I5,"\S[""S001"",""S064""]",\S2026-07-15,\Scurrent
\SLEARN_DFO_MISCONCEPTION,\Smethod,\SMF_DFO_LOCAL,\Sfeature,\SF_DERIVATIVE_ACCESS,\Scommon_misconception_for,\Sgradient-freeは評価情報を使わないという意味ではない。,\Sbeginner,\Slearner,\I24,"\S[""S056""]",\S2026-07-15,\Scurrent
\SLEARN_DFO_NM,\Smethod,\SMF_DFO_LOCAL,\Smethod,\SM_NELDER_MEAD,\Sgeneralizes,\SDFO familyはsimplexやpattern searchを含む。,\Sbeginner,\Slearner,\I18,"\S[""S056""]",\S2026-07-15,\Scurrent
\SLEARN_GD_COMPARE,\Smethod,\SM_GRADIENT_DESCENT,\Scomparison,\SCOMPARE_GRADIENT_FAMILY,\Ssee_comparison,\S同じ初期点・budgetでMomentumとAdamに比べる。,\Sbeginner,\Slearner,\I30,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_GD_MOMENTUM,\Smethod,\SM_GRADIENT_DESCENT,\Smethod,\SM_MOMENTUM_SGD,\Snext_step,\S勾配法の振動を理解して慣性項へ進む。,\Sbeginner,\Slearner,\I7,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_GD_VIS,\Smethod,\SM_GRADIENT_DESCENT,\Sscenario,\SSCENARIO_GD_QUADRATIC,\Ssee_visualization,\S細長い谷のzig-zagをTraceで確認する。,\Sbeginner,\Slearner,\I26,"\S[""S001""]",\S2026-07-15,\Scurrent
\SLEARN_GN_LM,\Smethod,\SM_GAUSS_NEWTON,\Smethod,\SM_LEVENBERG_MARQUARDT,\Snext_step,\SGauss–Newtonの不安定性からdampingへ進む。,\Sintermediate,\Slearner,\I10,"\S[""S003"",""S056""]",\S2026-07-15,\Scurrent
\SLEARN_LM_CASE,\Smethod,\SM_LEVENBERG_MARQUARDT,\Scase,\SEC013,\Ssee_case,\S非線形最小二乗のGallery caseで条件を確認する。,\Sbeginner,\Spractitioner,\I33,"\S[""S003""]",\S2026-07-15,\Scurrent
\SLEARN_LM_IMPL,\Smethod,\SM_LEVENBERG_MARQUARDT,\Simplementation,\SI_SCIPY_LEAST_SQUARES_LM,\Simplemented_by,\SSciPy least_squares LMへ接続する。,\Sbeginner,\Spractitioner,\I36,"\S[""S003""]",\S2026-07-15,\Scurrent
\SLEARN_LM_LS,\Smethod,\SM_LEVENBERG_MARQUARDT,\Sproblem,\SPA033,\Sapplied_in,\S残差二乗和の非線形最小二乗へ適用する。,\Sbeginner,\Spractitioner,\I21,"\S[""S003""]",\S2026-07-15,\Scurrent
\SLEARN_LP_IMPL,\Smethod,\SMF_LP_QP_CONIC,\Simplementation,\SI_CVXPY,\Simplemented_by,\SLP・QP・錐modelを表現するCVXPYへ接続する。,\Sbeginner,\Spractitioner,\I41,"\S[""S010"",""S011""]",\S2026-07-15,\Scurrent
\SLEARN_MAP_GD,\Smethod,\SM_GRADIENT_DESCENT,\Sview_preset,\SVIEW_METHOD_MECHANISM,\Ssee_visualization,\SMethod mechanism Viewで必要情報を横断する。,\Sbeginner,\Slearner,\I42,"\S[""S001""]",\S2026-07-15,\Scurrent
\SLEARN_MIP_BNB,\Smethod,\SMF_DISCRETE_EXACT,\Smethod,\SM_BRANCH_BOUND,\Sgeneralizes,\S離散厳密解法はBranch-and-Boundを基本骨格に含む。,\Sintermediate,\Slearner,\I19,"\S[""S079""]",\S2026-07-15,\Scurrent
\SLEARN_MOMENTUM_ADAM,\Smethod,\SM_MOMENTUM_SGD,\Smethod,\SM_ADAM,\Snext_step,\S一次momentumから適応的二次momentへ進む。,\Sintermediate,\Slearner,\I8,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_MOMENTUM_COMPARE,\Smethod,\SM_MOMENTUM_SGD,\Scomparison,\SCOMPARE_GRADIENT_FAMILY,\Ssee_comparison,\S慣性の効果を他の一次法に比べる。,\Sbeginner,\Slearner,\I31,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_MOMENTUM_VIS,\Smethod,\SM_MOMENTUM_SGD,\Sscenario,\SSCENARIO_MOMENTUM_QUADRATIC,\Ssee_visualization,\S慣性項の影響をTraceで確認する。,\Sbeginner,\Slearner,\I27,"\S[""S070""]",\S2026-07-15,\Scurrent
\SLEARN_MULTI_WEIGHTED,\Smethod,\SMF_MULTI_OBJECTIVE,\Smethod,\SM_WEIGHTED_SUM,\Sgeneralizes,\S重み付き和は多目的problemのscalarizationである。,\Sbeginner,\Slearner,\I20,"\S[""S055"",""S068""]",\S2026-07-15,\Scurrent
\SLEARN_NM_DFO,\Smethod,\SM_NELDER_MEAD,\Smethod,\SMF_DFO_LOCAL,\Sspecial_case_of,\SNelder–Meadは局所DFO familyの一つである。,\Sbeginner,\Slearner,\I16,"\S[""S056"",""S063""]",\S2026-07-15,\Scurrent
\SLEARN_NM_GD,\Smethod,\SM_NELDER_MEAD,\Smethod,\SM_GRADIENT_DESCENT,\Scontrast_with,\Ssimplex操作と勾配方向の更新を対比する。,\Sbeginner,\Slearner,\I12,"\S[""S001"",""S063""]",\S2026-07-15,\Scurrent
\SLEARN_NM_VIS,\Smethod,\SM_NELDER_MEAD,\Sscenario,\SSCENARIO_NM_QUADRATIC,\Ssee_visualization,\Sreflection等をsimplexの動きで確認する。,\Sbeginner,\Slearner,\I29,"\S[""S063""]",\S2026-07-15,\Scurrent
\SLEARN_NSGA_CASE,\Smethod,\SM_NSGA_II,\Scase,\SEC017,\Ssee_case,\S多目的Gallery caseでPareto要求を確認する。,\Sbeginner,\Spractitioner,\I34,"\S[""S039"",""S068""]",\S2026-07-15,\Scurrent
\SLEARN_NSGA_MULTI,\Smethod,\SM_NSGA_II,\Smethod,\SMF_MULTI_OBJECTIVE,\Sspecial_case_of,\SNSGA-IIは多目的進化手法の一つである。,\Sintermediate,\Slearner,\I17,"\S[""S068""]",\S2026-07-15,\Scurrent
\SLEARN_NSGA_PA038,\Smethod,\SM_NSGA_II,\Sproblem,\SPA038,\Sapplied_in,\S多目的trade-off集合を求めるproblemへ適用する。,\Sbeginner,\Spractitioner,\I22,"\S[""S039"",""S068""]",\S2026-07-15,\Scurrent
\SLEARN_SLSQP_IMPL,\Smethod,\SM_SLSQP,\Simplementation,\SI_SCIPY_SLSQP,\Simplemented_by,\SSciPy SLSQPへ接続する。,\Sbeginner,\Spractitioner,\I40,"\S[""S001"",""S064""]",\S2026-07-15,\Scurrent
