diagnostic_id,name_ja,name_en,category,metric_name,definition_or_formula,interpretation,warning_threshold,recommended_action,collection_cost,applicable_method_ids,applicable_problem_ids,related_failure_mode_ids,source_ids,confidence,last_verified
\SD001,\S勾配整合性,\SGradient consistency,\Sderivative,\Srelative_gradient_error,"\S||g_reported-g_check|| / max(1,||g_reported||,||g_check||)",\S小さいほど良い。directional derivativeを複数方向で確認。,\S問題scaleに依存。目安を固定せずfinite-difference truncation/noise floorと比較。,\S微分実装・step・AD graphを修正。,\Smoderate,\SM_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,\S,\SFM001,\SS002;S056,\Shigh,\S2026-07-13
\SD002,\S最大制約違反,\SMaximum constraint violation,\Sconstraint,\Smax_constraint_violation,"\Smax(max(0,g_i(x)), |h_j(x)|, bound_violation)",\Ssolver statusに関係なく元の式で再計算。,\Suser toleranceを超える場合は実行不能。,\Sconstraint scale、式、solver tolerance、丸めを確認。,\Slow,\SM_SQP;M_ACTIVE_SET;M_INTERIOR_POINT_NLP;M_SLSQP;M_COBYLA;M_CP_SAT;M_BRANCH_CUT,\S,\SFM011;FM015;FM031,\SS017;S056,\Shigh,\S2026-07-13
\SD003,\SKKT残差,\SKKT residual,\Soptimality,\Skkt_residual,"\Smax(stationarity, primal_feasibility, dual_feasibility, complementarity)",\S制約付き滑らか問題の局所最適性診断。,\S各成分を別表示し最大値だけで隠さない。,\Sderivative、constraint qualification、scalingを確認。,\Smoderate,\SM_SQP;M_INTERIOR_POINT_NLP,\S,\SFM012,\SS017;S055;S056,\Shigh,\S2026-07-13
\SD004,\Sprojected/Riemann勾配norm,\SProjected or Riemannian gradient norm,\Soptimality,\Sprojected_gradient_norm,\S||x-P_C(x-g)|| or ||grad_R f||,\S制約/多様体に沿ったstationarity。,\SEuclidean gradient normだけでは誤判定。,\S適切なprojection/metric/retractionを確認。,\Smoderate,\SM_GRADIENT_DESCENT;M_ADAM;M_BFGS,\S,\SFM018,\SS044;S055;S071,\Shigh,\S2026-07-13
\SD005,\S数値微分step感度,\SFinite-difference step sensitivity,\Sderivative,\Sfinite_difference_step_sweep,\Svariation of derivative estimate over log-spaced steps,\SU字型のtruncation/roundoff、noise plateauを見る。,\Sstep変更で符号・桁が変わる場合は不可信。,\Sscale-aware step、complex step、AD、DFOへ。,\Smoderate,\SM_BFGS;M_LBFGSB;M_SLSQP,\S,\SFM002,\SS002;S056,\Shigh,\S2026-07-13
\SD006,\Snoise floor,\SNoise floor,\Snoise,\Sreplicate_standard_error,\Sstd(f(x;seed))/sqrt(r) and paired-difference variance,\S期待改善や停止閾値とnoiseを比較。,\S改善量がnoiseと同程度以下ならdeterministic判定は不可信。,\Sreplication、CRN、smoothing、noise-aware method。,\Shigh,\SM_NEWTON;M_BFGS;M_SLSQP;all numerical,\S,\SFM003;FM024,\SS059,\Shigh,\S2026-07-13
\SD007,\S変数scale比,\SVariable scaling ratio,\Snumerical,\Svariable_scale_ratio,\Smax(characteristic_scale_i)/min(characteristic_scale_i),\S桁差が大きいほどstep/conditioningへ影響。,\S固定閾値よりsolver warningとderivative感度を併用。,\Snondimensionalization、scaled variables、preconditioning。,\Slow,\SM_BFGS;M_SLSQP;M_COBYLA;M_CMA_ES,\S,\SFM007,\SS056,\Shigh,\S2026-07-13
\SD008,\S条件数推定,\SCondition estimate,\Snumerical,\Scondition_estimate,"\Sestimated cond(J), cond(H), or KKT system",\S大きいほど誤差増幅・線形solve困難。,\S推定対象とnormを記録。,\Sscaling、regularization、preconditioner、reparameterization。,\Shigh,\SM_NEWTON;M_GAUSS_NEWTON;M_INTERIOR_POINT_NLP,\S,\SFM009,\SS056,\Shigh,\S2026-07-13
\SD009,\Srank/identifiability,\SRank and identifiability,\Snumerical,\Seffective_rank,\Ssingular values above scale-aware threshold,\S小さいsingular valuesは非識別・flat directions。,\Sthresholdはnoise/scale依存。,\Sregularization、parameter固定、experiment redesign。,\Shigh,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT;M_INTERIOR_POINT_NLP;M_BRANCH_CUT,\S,\SFM010;FM013,\SS003;S041;S056,\Shigh,\S2026-07-13
\SD010,\Sline-search統計,\SLine-search statistics,\Slocal_solver,\Sline_search_rejections,"\Saccepted step, backtracks, Wolfe/Armijo failures",\Sbacktrack増大はgradient/model/scale問題の兆候。,\S単発失敗より連続傾向を重視。,\Sgradient check、scale、trust-regionへ切替。,\Slow,\SM_BFGS;M_LBFGS;M_NLCG,\S,\SFM019,\SS002;S056,\Shigh,\S2026-07-13
\SD011,\Strust-region model比,\STrust-region model agreement,\Slocal_solver,\Srho_ratio,\S(f(x)-f(x+s))/(m(0)-m(s)),\S1付近はmodel良好、負値/小値はmodel不良。,\Snoiseが分母・分子を支配する場合は不可信。,\Sradius、derivative、noise handlingを見直す。,\Slow,\SM_TRUST_NCG;M_TRUST_KRYLOV;M_COBYQA,\S,\SFM020,\SS056,\Shigh,\S2026-07-13
\SD012,\Ssimplex/補間geometry,\SSimplex or interpolation geometry,\Sdfo,\Sgeometry_quality,\Svolume/poisedness/condition of interpolation set,\S退化すると方向探索・modelが不可信。,\S実装固有metric。,\Srestart、rescale、geometry repair。,\Smoderate,\SM_NELDER_MEAD,\S,\SFM021,\SS031;S063,\Shigh,\S2026-07-13
\SD013,\SADMM primal/dual残差,\SADMM residual balance,\Sfirst_order,\Sadmm_residuals,\Sr_k=Ax+Bz-c; s_k=rho A^T B(z_k-z_{k-1}),\S両残差のbalanceと収束を別々に見る。,\Srho変更時のscaled/unscaled定義を記録。,\Sadaptive rho、scaling、subproblem accuracy。,\Slow,\SM_ADMM;M_ADMM_QP,\S,\SFM026,\SS012;S061;S062,\Shigh,\S2026-07-13
