hierarchy_id,parent_method_id,child_method_id,relation_type,depth,is_primary_parent,rationale,source_ids,confidence,last_verified
MH0001,MF_SMOOTH_LOCAL,M_GRADIENT_DESCENT,is_a,1,yes,Gradient descent is classified under Smooth local continuous optimization.,S002;S056;S057,high,2026-07-13
MH0002,MF_SMOOTH_LOCAL,M_NLCG,is_a,1,yes,Nonlinear conjugate gradient is classified under Smooth local continuous optimization.,S002;S056;S057,high,2026-07-13
MH0003,MF_SMOOTH_LOCAL,M_NEWTON,is_a,1,yes,Newton's method is classified under Smooth local continuous optimization.,S002;S056;S057,high,2026-07-13
MH0004,MF_SMOOTH_LOCAL,M_NEWTON_CG,is_a,1,yes,Newton conjugate-gradient is classified under Smooth local continuous optimization.,S002;S056;S057,high,2026-07-13
MH0005,MF_SMOOTH_LOCAL,M_BFGS,is_a,1,yes,BFGS is classified under Smooth local continuous optimization.,S002;S056;S057,high,2026-07-13
MH0006,MF_SMOOTH_LOCAL,M_LBFGS,is_a,1,yes,Limited-memory BFGS is classified under Smooth local continuous optimization.,S002;S056;S057;S065,high,2026-07-13
MH0007,MF_SMOOTH_LOCAL,M_LBFGSB,is_a,1,yes,L-BFGS-B is classified under Smooth local continuous optimization.,S002;S056;S057;S065,high,2026-07-13
MH0008,MF_TRUST_REGION,M_TRUST_NCG,is_a,1,yes,Trust-region Newton-CG is classified under Trust-region methods.,S002;S003;S056,high,2026-07-13
MH0009,MF_TRUST_REGION,M_TRUST_KRYLOV,is_a,1,yes,Trust-region Krylov is classified under Trust-region methods.,S002;S003;S056,high,2026-07-13
MH0010,MF_TRUST_REGION,M_TRUST_EXACT,is_a,1,yes,Nearly exact trust-region is classified under Trust-region methods.,S002;S003;S056,high,2026-07-13
MH0011,MF_TRUST_REGION,M_GAUSS_NEWTON,is_a,1,yes,Gauss-Newton is classified under Trust-region methods.,S002;S003;S056;S041,high,2026-07-13
MH0012,MF_TRUST_REGION,M_LEVENBERG_MARQUARDT,is_a,1,yes,Levenberg-Marquardt is classified under Trust-region methods.,S002;S003;S056;S041,high,2026-07-13
MH0013,MF_CONSTRAINED_NLP,M_SQP,is_a,1,yes,Sequential quadratic programming is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064,high,2026-07-13
MH0014,MF_CONSTRAINED_NLP,M_SLSQP,is_a,1,yes,Sequential least-squares programming is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064;S002,high,2026-07-13
MH0015,MF_CONSTRAINED_NLP,M_INTERIOR_POINT_NLP,is_a,1,yes,Interior-point NLP is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064,high,2026-07-13
MH0016,MF_CONSTRAINED_NLP,M_AUGMENTED_LAGRANGIAN,is_a,1,yes,Augmented Lagrangian is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064;S018,high,2026-07-13
MH0017,MF_CONSTRAINED_NLP,M_PROJECTED_GRADIENT,is_a,1,yes,Projected gradient is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064;S055;S066,high,2026-07-13
MH0018,MF_CONSTRAINED_NLP,M_ACTIVE_SET,is_a,1,yes,Active-set method is classified under Constrained nonlinear programming.,S017;S029;S030;S056;S064;S012;S016,high,2026-07-13
MH0019,MF_COMPOSITE_CONVEX,M_PROX_GRADIENT,is_a,1,yes,Proximal gradient is classified under Convex composite and proximal optimization.,S055;S061;S066;S067,high,2026-07-13
MH0020,MF_COMPOSITE_CONVEX,M_FISTA,is_a,1,yes,Fast iterative shrinkage-thresholding algorithm is classified under Convex composite and proximal optimization.,S055;S061;S066;S067,high,2026-07-13
MH0021,MF_COMPOSITE_CONVEX,M_COORDINATE_DESCENT,is_a,1,yes,Coordinate descent is classified under Convex composite and proximal optimization.,S055;S061;S066;S067;S056,high,2026-07-13
MH0022,MF_COMPOSITE_CONVEX,M_ADMM,is_a,1,yes,Alternating direction method of multipliers is classified under Convex composite and proximal optimization.,S055;S061;S066;S067,high,2026-07-13
MH0023,MF_COMPOSITE_CONVEX,M_MIRROR_DESCENT,is_a,1,yes,Mirror descent is classified under Convex composite and proximal optimization.,S055;S061;S066;S067,high,2026-07-13
MH0024,MF_COMPOSITE_CONVEX,M_SUBGRADIENT,is_a,1,yes,Subgradient method is classified under Convex composite and proximal optimization.,S055;S061;S066;S067,high,2026-07-13
MH0025,MF_COMPOSITE_CONVEX,M_BUNDLE,is_a,1,yes,Bundle method is classified under Convex composite and proximal optimization.,S055;S061;S066;S067;S056,high,2026-07-13
MH0026,MF_DFO_LOCAL,M_NELDER_MEAD,is_a,1,yes,Nelder-Mead simplex is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063,high,2026-07-13
MH0027,MF_DFO_LOCAL,M_POWELL,is_a,1,yes,Powell direction-set is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063;S056,high,2026-07-13
MH0028,MF_DFO_LOCAL,M_PATTERN_SEARCH,is_a,1,yes,Pattern search is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063,high,2026-07-13
MH0029,MF_DFO_LOCAL,M_MADS,is_a,1,yes,Mesh adaptive direct search is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063,high,2026-07-13
MH0030,MF_DFO_LOCAL,M_COBYLA,is_a,1,yes,Constrained optimization by linear approximation is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063,high,2026-07-13
MH0031,MF_DFO_LOCAL,M_COBYQA,is_a,1,yes,Constrained optimization by quadratic approximations is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063,high,2026-07-13
MH0032,MF_DFO_LOCAL,M_SPSA,is_a,1,yes,Simultaneous perturbation stochastic approximation is classified under Local derivative-free optimization.,S002;S018;S031;S060;S063;S056,high,2026-07-13
MH0033,MF_GLOBAL_SEARCH,M_MULTISTART,is_a,1,yes,Multi-start local optimization is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074;S056,high,2026-07-13
MH0034,MF_GLOBAL_SEARCH,M_BASIN_HOPPING,is_a,1,yes,Basin-hopping is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074;S001;S002,high,2026-07-13
MH0035,MF_GLOBAL_SEARCH,M_SHGO,is_a,1,yes,Simplicial homology global optimization is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
MH0036,MF_GLOBAL_SEARCH,M_DIRECT,is_a,1,yes,DIviding RECTangles is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
MH0037,MF_GLOBAL_SEARCH,M_DIFFERENTIAL_EVOLUTION,is_a,1,yes,Differential evolution is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
MH0038,MF_GLOBAL_SEARCH,M_SIMULATED_ANNEALING,is_a,1,yes,Simulated annealing is classified under Global search and multi-start.,S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
MH0039,MF_EVOLUTIONARY,M_CMA_ES,is_a,1,yes,Covariance matrix adaptation evolution strategy is classified under Evolutionary and population-based optimization.,S032;S033;S040;S058;S074,high,2026-07-13
MH0040,MF_EVOLUTIONARY,M_GENETIC_ALGORITHM,is_a,1,yes,Genetic algorithm is classified under Evolutionary and population-based optimization.,S032;S033;S040;S058;S074,high,2026-07-13
MH0041,MF_EVOLUTIONARY,M_PARTICLE_SWARM,is_a,1,yes,Particle swarm optimization is classified under Evolutionary and population-based optimization.,S032;S033;S040;S058;S074,high,2026-07-13
MH0042,MF_SURROGATE_HPO,M_BAYESIAN_OPT_GP,is_a,1,yes,"Gaussian-process Bayesian optimization is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0043,MF_SURROGATE_HPO,M_TPE,is_a,1,yes,"Tree-structured Parzen estimator is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0044,MF_SURROGATE_HPO,M_SMAC_RF,is_a,1,yes,"SMAC with random forest is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0045,MF_SURROGATE_HPO,M_TURBO_SAASBO,is_a,1,yes,"TuRBO / SAASBO is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0046,MF_SURROGATE_HPO,M_RANDOM_SEARCH,is_a,1,yes,"Random search is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0047,MF_SURROGATE_HPO,M_HYPERBAND_ASHA,is_a,1,yes,"Hyperband / ASHA is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0048,MF_SURROGATE_HPO,M_PBT,is_a,1,yes,"Population-based training is classified under Surrogate, Bayesian optimization, and HPO.",S034;S035;S036;S037;S038;S059;S069;S075,high,2026-07-13
MH0049,MF_LP_QP_CONIC,M_SIMPLEX,is_a,1,yes,"Primal simplex is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MH0050,MF_LP_QP_CONIC,M_DUAL_SIMPLEX,is_a,1,yes,"Dual simplex is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MH0051,MF_LP_QP_CONIC,M_BARRIER_LP_QP,is_a,1,yes,"Primal-dual barrier method is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MH0052,MF_LP_QP_CONIC,M_PDLP,is_a,1,yes,"Primal-dual hybrid gradient for LP is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062;S078,high,2026-07-13
MH0053,MF_LP_QP_CONIC,M_ACTIVE_SET_QP,is_a,1,yes,"Active-set QP is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MH0054,MF_LP_QP_CONIC,M_ADMM_QP,is_a,1,yes,"ADMM/operator-splitting QP is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062,high,2026-07-13
MH0055,MF_LP_QP_CONIC,M_PRIMAL_DUAL_CONIC,is_a,1,yes,"Primal-dual conic interior-point is classified under Linear, quadratic, and conic optimization.",S004;S010;S012;S013;S014;S016;S055;S062;S028,high,2026-07-13
MH0056,MF_DISCRETE_EXACT,M_BRANCH_BOUND,is_a,1,yes,Branch and bound is classified under Exact discrete and mixed-integer optimization.,S005;S016;S021;S024;S025;S028,high,2026-07-13
MH0057,MF_DISCRETE_EXACT,M_BRANCH_CUT,is_a,1,yes,Branch and cut is classified under Exact discrete and mixed-integer optimization.,S005;S016;S021;S024;S025;S028,high,2026-07-13
MH0058,MF_DISCRETE_EXACT,M_OUTER_APPROX_MINLP,is_a,1,yes,Outer approximation for MINLP is classified under Exact discrete and mixed-integer optimization.,S005;S016;S021;S024;S025;S028;S029,high,2026-07-13
MH0059,MF_DISCRETE_EXACT,M_SPATIAL_BRANCH_BOUND,is_a,1,yes,Spatial branch and bound is classified under Exact discrete and mixed-integer optimization.,S005;S016;S021;S024;S025;S028,high,2026-07-13
MH0060,MF_CONSTRAINT_PROGRAMMING,M_CP_SEARCH,is_a,1,yes,Constraint-programming search is classified under Constraint programming and SAT.,S022;S053,high,2026-07-13
MH0061,MF_CONSTRAINT_PROGRAMMING,M_CP_SAT,is_a,1,yes,Constraint programming with SAT techniques is classified under Constraint programming and SAT.,S022;S053;S079,high,2026-07-13
MH0062,MF_CONSTRAINT_PROGRAMMING,M_CDCL_SAT,is_a,1,yes,Conflict-driven clause learning SAT is classified under Constraint programming and SAT.,S022;S053,high,2026-07-13
MH0063,MF_GRAPH_DP,M_DYNAMIC_PROGRAMMING,is_a,1,yes,Dynamic programming is classified under Graph algorithms and dynamic programming.,S054,high,2026-07-13
MH0064,MF_GRAPH_DP,M_NETWORK_SIMPLEX,is_a,1,yes,Network simplex is classified under Graph algorithms and dynamic programming.,S054,high,2026-07-13
MH0065,MF_GRAPH_DP,M_HUNGARIAN,is_a,1,yes,Hungarian algorithm is classified under Graph algorithms and dynamic programming.,S054,high,2026-07-13
MH0066,MF_GRAPH_DP,M_DIJKSTRA_ASTAR,is_a,1,yes,Dijkstra / A* is classified under Graph algorithms and dynamic programming.,S054,high,2026-07-13
MH0067,MF_GRAPH_DP,M_LOCAL_SEARCH_COMBINATORIAL,is_a,1,yes,Combinatorial local search is classified under Graph algorithms and dynamic programming.,S054;S023,high,2026-07-13
MH0068,MF_MULTI_OBJECTIVE,M_WEIGHTED_SUM,is_a,1,yes,Weighted-sum scalarization is classified under Multi-objective optimization.,S039;S068;S055,high,2026-07-13
MH0069,MF_MULTI_OBJECTIVE,M_EPSILON_CONSTRAINT,is_a,1,yes,Epsilon-constraint method is classified under Multi-objective optimization.,S039;S068;S055,high,2026-07-13
MH0070,MF_MULTI_OBJECTIVE,M_NSGA_II,is_a,1,yes,Non-dominated sorting genetic algorithm II is classified under Multi-objective optimization.,S039;S068,high,2026-07-13
MH0071,MF_MULTI_OBJECTIVE,M_NSGA_III,is_a,1,yes,Reference-point based NSGA-III is classified under Multi-objective optimization.,S039;S068,high,2026-07-13
MH0072,MF_MULTI_OBJECTIVE,M_MOEA_D,is_a,1,yes,Multi-objective evolutionary algorithm based on decomposition is classified under Multi-objective optimization.,S039;S068,high,2026-07-13
MH0073,MF_STOCHASTIC_ML,M_SGD,is_a,1,yes,Stochastic gradient descent is classified under Stochastic-gradient and ML optimization.,S047;S048;S049;S070,high,2026-07-13
